GLOBAL ID,REPORTING YEAR,FACILITY PLACE ID,SITE NAME,SITE TYPE,LEAD AGENCY,FAC PRODUCE REC WATER,SOLELY REC TREAT,FACILITY TYPE,SUBMIT DATE,LATITUDE,LONGITUDE
WDR100000849,2019,650554,Santa Paula WRF,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,5/14/2020,34.3353,-119.08293
WDR100000849,2020,650554,Santa Paula WRF,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,2/11/2021,34.3353,-119.08293
WDR100000849,2021,650554,Santa Paula WRF,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,3/31/2022,34.3353,-119.08293
WDR100000849,2022,650554,Santa Paula WRF,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/24/2023,34.3353,-119.08293
WDR100000869,2019,261253,Simi Valley WQCP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/20/2020,34.28594,-118.814288
WDR100000869,2020,261253,Simi Valley WQCP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/6/2021,34.28594,-118.814288
WDR100000869,2021,261253,Simi Valley WQCP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/4/2022,34.28594,-118.814288
WDR100000869,2022,261253,Simi Valley WQCP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,2/22/2023,34.28594,-118.814288
WDR100001741,2019,235826,Whittier Narrows Water Reclamation Plant,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,6/27/2020,34.021667,-118.072778
WDR100001741,2020,235826,Whittier Narrows Water Reclamation Plant,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/29/2021,34.021667,-118.072778
WDR100001741,2021,235826,Whittier Narrows Water Reclamation Plant,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/29/2022,34.021667,-118.072778
WDR100001741,2022,235826,Whittier Narrows Water Reclamation Plant,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/28/2023,34.021667,-118.072778
WDR100001744,2019,238562,Long Beach WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,6/25/2020,33.804157,-118.090256
WDR100001744,2020,238562,Long Beach WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/29/2021,33.804157,-118.090256
WDR100001744,2021,238562,Long Beach WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/29/2022,33.804157,-118.090256
WDR100001744,2022,238562,Long Beach WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/28/2023,33.804157,-118.090256
WDR100001745,2019,238646,Los Coyotes WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,9/23/2020,33.87972,-118.10722
WDR100001745,2020,238646,Los Coyotes WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/30/2021,33.87972,-118.10722
WDR100001745,2021,238646,Los Coyotes WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,6/1/2022,33.87972,-118.10722
WDR100001745,2022,238646,Los Coyotes WRP,* WDR Site,LOS ANGELES RWQCB (REGION 4),Y,N,WWTP RW,4/28/2023,33.87972,-118.10722
