GLOBAL ID,REPORTING YEAR,REPORTING MONTH,NON OPERATIONAL,INFLUENT VOLUME,INFLUENT TYPE,INFLUENT TYPE EST EXPLANATION,EFF NOT WITHIN 20 EXPLANATION,INFLUENT 0 EXPLANATION,WWTP 1,WWTP VOL 1,WWTP 2,WWTP VOL 2,WWTP 3,WWTP VOL 3,WWTP 4,WWTP VOL 4,WWTP 5,WWTP VOL 5
NPD100051562,2019,11,NA,1139.5,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,2,NA,41.23,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,3,NA,39.69,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,7,NA,47.38,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,1,NA,14.6,estimated,"Flow is metered gallons (4,756,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,9,NA,54.76,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,1,NA,7.38,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,5,NA,6.57,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,10,NA,680,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,11,NA,650,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001039,2019,12,NA,720,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001067,2019,12,NA,7.06,estimated,Influent flow is considered equal to effluent flow because influent flow is not separately measured.,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001083,2019,4,NA,6095.45,metered,NA,"Total effluent discharge flow volume is not within 10% of the treatment plant influent flow volume due to different meters used for each flow measurement with inherent metering differences, discharge flow does not include sludge and other waste produced during the treatment process that are conveyed offsite for further treatment, and other factors.",NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100001083,2019,8,NA,6219.15,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,10,NA,70.46,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,2,NA,12.95,estimated,"Flow is metered in gallons (4,219,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,11,NA,80.61,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,3,NA,14.52,estimated,"Flow is metered gallons (4,730,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051634,2019,12,NA,61.53,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,2,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,3,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100006793,2019,10,X,0,NA,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,4,NA,14.02,estimated,"Flow is metered gallons (4,567,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,5,NA,14.16,estimated,"Flow is metered gallons (4,614000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,6,NA,14.14,estimated,"Flow is calculated gallons (4,608,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,7,NA,14.03,estimated,"Flow is metered gallons (4,572,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100034585,2019,8,NA,14.18,estimated,"Flow is metered in gallons (4,622,000 gallons)",NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037216,2019,6,NA,6.32,metered,NA,Irrigation Season - stored Disinfected Secondary Effluent applied to Agriculture Fields,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037216,2019,7,NA,5.55,metered,NA,Irrigation Season - stored Disinfected Secondary Effluent applied to Agriculture Fields,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100037216,2019,8,NA,5.83,metered,NA,Irrigation Season - stored Disinfected Secondary Effluent applied to Agriculture Fields,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051562,2020,1,NA,1242.3,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
NPD100051618,2019,12,NA,285.1,metered,NA,Facility has a 62 million gallon secondary treated storage reservoir,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,1,NA,251.71,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100026851,2019,3,NA,243.15,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100000609,2019,9,NA,0.78,estimated,no inf flow meter,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100000609,2019,10,NA,0.66,estimated,no inf flow meter,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
WDR100027318,2019,1,NA,194.38,metered,NA,NA,NA,NA,NaN,NA,NaN,NA,NaN,NA,NaN,NA,NaN
