"CWNS_ID","FACILITY_ID","STATE_CODE","HUC","WATERSHED_NAME","WATERSHED_PRIMARY_FLAG"
"06008023006",2942689,"CA","18070204","Newport Bay","Y"
"06001036001",1175202,"CA","18010110","Russian","Y"
"06002025001",1175283,"CA","18050001","Suisun Bay","Y"
"06002049001",1175309,"CA","18050006","San Francisco Coastal South","Y"
"06003037001",1175402,"CA","18060013","Santa Barbara Coastal","Y"
"06003094001",406088,"CA","18060006","Central Coastal","Y"
"06023029001",3378890,"CA","18060005","Salinas","Y"
"06008023003",2945422,"CA","18070201","Seal Beach","Y"
"06000000082",3607552,"CA","18100201","Whitewater River","Y"
"06000000076",3607353,"CA","18050001","Suisun Bay","Y"
"06003029002",1175397,"CA","18060005","Salinas","Y"
"06022109001",3490190,"CA","18050004","San Francisco Bay","Y"
"06003004001",1175375,"CA","18060006","Central Coastal","Y"
"06009047001",1176085,"CA","18070303","San Luis Rey-Escondido","Y"
"06008036001",1175991,"CA","18070201","Seal Beach","Y"
"06009049001",1176086,"CA","18070304","San Diego","Y"
"06005077001",1175595,"CA","18040002","Middle San Joaquin-Lower Merced- Lower Stanislaus","Y"
"06004017001",1175504,"CA","18070102","Santa Clara","Y"
"06008022001",1175976,"CA","18070203","Santa Ana","Y"
"06008023001",2942642,"CA","18070204","Newport Bay","Y"
"06005045001",1175565,"CA","18020125","Upper Yuba","Y"
"06022012001",3514318,"CA","18050004","San Francisco Bay","Y"
"06008010006",3486596,"CA","18070203","Santa Ana","Y"
"06005065001",1175586,"CA","18040009","Upper Tuolumne","Y"
"06005126001",1175657,"CA","18040002","Middle San Joaquin-Lower Merced- Lower Stanislaus","Y"
"06001047001",1175213,"CA","18010102","Mad-Redwood","Y"
"06008060001",1176008,"CA","18070204","Newport Bay","Y"
"06002016001",1175275,"CA","18050004","San Francisco Bay","Y"
"06000000196",3609511,"CA","18070102","Santa Clara",""
"06000000196",3609511,"CA","18070106","San Gabriel",""
"06005010002",1175531,"CA","18030003","Middle Kern-Upper Tehachapi-Grapevine","Y"
"06000000139",3608621,"CA","18070203","Santa Ana","Y"
"06005177001",1175687,"CA","18030007","Upper Kaweah","Y"
"06000000086",3607691,"CA","18060006","Central Coastal","Y"
"06000000102",3607908,"CA","18070304","San Diego","Y"
"06000000095",3607863,"CA","18040003","San Joaquin Delta","Y"
"06000000159",3609003,"CA","18010207","Shasta",""
"06000000159",3609003,"CA","17100312","Chetco",""
"06000000159",3609003,"CA","18020151","Clear Creek-Sacramento River",""
"06000000159",3609003,"CA","18020003","Lower Pit",""
"06000000159",3609003,"CA","18070201","Seal Beach",""
"06000000159",3609003,"CA","18060002","Pajaro",""
"06000000159",3609003,"CA","18060003","Carrizo Plain",""
"06000000159",3609003,"CA","18060012","Carmel",""
"06000000159",3609003,"CA","18100202","Carrizo Creek",""
"06000000159",3609003,"CA","18060004","Estrella",""
"06000000159",3609003,"CA","16050101","Lake Tahoe",""
"06000000159",3609003,"CA","18040051","Rock Creek-French Camp Slough",""
"06000000159",3609003,"CA","18010110","Russian",""
"06000000159",3609003,"CA","18060005","Salinas",""
"06000000159",3609003,"CA","18060001","San Lorenzo-Soquel",""
"06000000159",3609003,"CA","18070102","Santa Clara",""
"06000000159",3609003,"CA","18040011","Upper Calaveras",""
"06000000159",3609003,"CA","18070301","Aliso-San Onofre",""
"06000000159",3609003,"CA","18040002","Middle San Joaquin-Lower Merced- Lower Stanislaus",""
"06000000159",3609003,"CA","18070202","San Jacinto",""
"06000000200",3609584,"CA","18050004","San Francisco Bay","Y"
"06003021001",1175388,"CA","18060013","Santa Barbara Coastal","Y"
"06000000093",3607833,"CA","18070104","Santa Monica Bay","Y"
"06000000219",3610609,"CA","18090208","Mojave","Y"
