"CWNS_ID","FACILITY_ID","STATE_CODE","DISCHARGE_TYPE","PRESENT_DISCHARGE_PERCENTAGE","PROJECTED_DISCHARGE_PERCENTAGE","DISCHARGES_TO_CWNSID"
"06002085001",1175342,"CA","Discharge To Another Facility",100,100,"06002015001"
"06005078001",1175596,"CA","Outfall To Surface Waters",40,40,""
"06005078001",1175596,"CA","Deep well disposal (UIC Class I)",30,30,""
"06005078001",1175596,"CA","Reuse: Landscape-related irrigation",30,30,""
"06005300001",1175756,"CA","Evaporation",100,100,""
"06006002001",1175855,"CA","Reuse: Agricultural-related and livestock watering",100,100,""
"06009008001",1176039,"CA","Discharge To Another Facility",100,100,"06009031001"
"06002122001",1175356,"CA","Discharge To Another Facility",100,100,"06002125001"
"06003027001",1175394,"CA","Outfall To Surface Waters",80,80,""
"06005040001",1175560,"CA","Outfall To Surface Waters",100,100,""
"06005197001",1175701,"CA","Evaporation",100,100,""
"06005421001",1175804,"CA","Outfall To Surface Waters",100,100,""
"06008033001",1175988,"CA","Outfall To Surface Waters",100,100,""
"06001027001",1175195,"CA","Reuse: Irrigation",40,40,""
"06001042001",1175207,"CA","Evaporation",20,20,""
"06005107001",1175639,"CA","Evaporation",40,40,""
"06005282001",1175749,"CA","Evaporation",100,100,""
"06005607001",1175831,"CA","Reuse: Agricultural-related and livestock watering",100,100,""
"06009068002",1176092,"CA","Deep well disposal (UIC Class I)",100,100,""
"06001013001",1175183,"CA","Evaporation",100,100,""
"06001045001",1175209,"CA","Outfall To Surface Waters",25,25,""
"06008006001",1175950,"CA","Reuse: Landscape-related irrigation",60,60,""
"06000000106",3607985,"CA","Discharge To Another Facility",100,100,"06004009010"
"06008015001",1175965,"CA","Discharge To Another Facility",55,50,"06008016003"
"06002036001",1175294,"CA","Discharge To Another Facility",0,0,"06000000114"
"06000000140",3608711,"CA","Evaporation",100,100,""
"06002072001",1175334,"CA","Ocean Discharge",100,100,""
"06008010003",1175961,"CA","Discharge To Another Facility",18,18,"06008010005"
"06008010003",1175961,"CA","Discharge To Another Facility",14,14,"06008010006"
"06009049001",1176086,"CA","Discharge To Another Facility",7,7,"06009031004"
"06005693001",1175847,"CA","Evaporation",30,30,""
"06000000311",3613059,"CA","Reuse: Environmental restoration and groundwater discharge",0,100,""
"06009074001",1176093,"CA","Reuse: Landscape-related irrigation",100,100,""
"06003060001",1175427,"CA","Reuse: Agricultural-related and livestock watering",40,40,""
"06002033001",1175290,"CA","Reuse: Landscape-related irrigation",30,30,""
"06002121001",1175355,"CA","Reuse: Landscape-related irrigation",22,22,""
"06000000201",3609599,"CA","Discharge To Another Facility",100,100,"06004009002"
"06009041001",1176079,"CA","Reuse: Landscape-related irrigation",0,25,""
"06002008001",1175269,"CA","Reuse: Agricultural-related and livestock watering",5,5,""
"06000000073",3607081,"CA","Ocean Discharge",80,80,""
"06009047001",1176085,"CA","Discharge To Another Facility",50,50,"06009028001"
"06009007001",1176038,"CA","Discharge To Another Facility",7,7,"06009031004"
"06008004001",1175948,"CA","Discharge To Another Facility",100,100,"06000000105"
"06000000177",3609215,"CA","Discharge To Another Facility",100,100,"06009031002"
