"CWNS_ID","FACILITY_ID","STATE_CODE","CURRENT_EFFLUENT_TREATMENT_LEVEL","CURRENT_DISINFECTION_FLAG","FUTURE_EFFLUENT_TREATMENT_LEVEL","FUTURE_DISINFECTION_FLAG"
"06001020001",1175189,"CA","Advanced","Y","Advanced","Y"
"06003044001",1175412,"CA","Advanced","N","Advanced","N"
"06003115001",1175455,"CA","Secondary","N","Secondary","N"
"06005118001",1175649,"CA","Secondary","N","Secondary","N"
"06005233001",1175721,"CA","Advanced","Y","Advanced","Y"
"06005325001",1175771,"CA","Secondary","N","Secondary","N"
"06001014001",433503,"CA","Advanced","Y","Advanced","Y"
"06002041001",1175299,"CA","Advanced","Y","Advanced","Y"
"06002155001",1175365,"CA","Advanced","Y","Advanced","Y"
"06003072001",1175440,"CA","Secondary","N","Secondary","N"
"06005145001",1175665,"CA","Secondary","Y","Secondary","Y"
"06007022001",1175930,"CA","Secondary","Y","Advanced","Y"
"06005082021",3489196,"CA","Advanced","Y","Advanced","Y"
"06005047001",1175567,"CA","Secondary","N","Secondary","N"
"06005108001",1175640,"CA","Secondary","Y","Secondary","Y"
"06005551001",1175825,"CA","Secondary","N","Secondary","N"
"06004009003",1175479,"CA","Advanced","Y","Advanced","Y"
"06004010003",1175493,"CA","Advanced","Y","Advanced","Y"
"06005245002",1175731,"CA","Secondary","Y","Secondary","Y"
"06006008001",1175861,"CA","Advanced","Y","Advanced","Y"
"06004009006",1175482,"CA","Advanced","Y","Advanced","Y"
"06001036001",1175202,"CA","Advanced","Y","Advanced","Y"
"06005063001",1175584,"CA","Secondary","Y","Secondary","Y"
"06005033001",1238815,"CA","Advanced","Y","Advanced","Y"
"06008010004",3486590,"CA","Advanced","Y","Advanced","Y"
"06008086001",3380875,"CA","Advanced","Y","Advanced","Y"
"06005019004",395847,"CA","Secondary","N","Secondary","N"
"06001055001",1175221,"CA","Advanced","Y","Advanced","Y"
"06002125001",1175358,"CA","Advanced","Y","Advanced","Y"
"06004010001",1175491,"CA","Secondary","Y","Advanced","Y"
"06005169001",1175684,"CA","Secondary","N","Secondary","N"
"06003027001",1175394,"CA","Advanced","Y","Advanced","Y"
"06005187001",1175696,"CA","Advanced","Y","Advanced","Y"
"06005197001",1175701,"CA","Secondary","N","Secondary","N"
"06005421001",1175804,"CA","Advanced","Y","Advanced","Y"
"06008033001",1175988,"CA","Advanced","Y","Advanced","Y"
"06001009001",1175176,"CA","Advanced","Y","Advanced","Y"
"06005032001",1175554,"CA","Secondary","N","Secondary","N"
"06005367001",1175794,"CA","Advanced","Y","Advanced","Y"
"06008010005",3486593,"CA","Advanced","Y","Advanced","Y"
"06002074001",1175336,"CA","Advanced","Y","Advanced","Y"
"06003012001",1175381,"CA","Advanced","Y","Advanced","Y"
"06003047001",1175415,"CA","Advanced","Y","Advanced","Y"
"06004010004",1175494,"CA","Advanced","Y","Advanced","Y"
"06005081001",1175598,"CA","Secondary","Y","Secondary","Y"
"06005297001",1175754,"CA","Secondary","N","Secondary","N"
"06001015001",1175184,"CA","Secondary","Y","Secondary","Y"
"06002025001",1175283,"CA","Advanced","Y","Advanced","Y"
"06003009001",1175378,"CA","Advanced","Y","Advanced","Y"
"06003068001",1175436,"CA","Secondary","Y","Secondary","Y"
"06005299001",1175755,"CA","Secondary","N","Secondary","N"
"06005018001",1175539,"CA","Secondary","Y","Secondary","Y"
"06005057001",1175576,"CA","Secondary","N","Secondary","N"
"06005082016",1175604,"CA","Secondary","N","Secondary","N"
"06003046001",1175414,"CA","Secondary","N","Secondary","N"
"06005246001",1175732,"CA","Secondary","N","Secondary","N"
"06009025001",1176057,"CA","Secondary","N","Secondary","N"
"06001004001",1175170,"CA","Secondary","N","Secondary","N"
"06002069001",1175329,"CA","Advanced","Y","Advanced","Y"
"06005053001",1175571,"CA","Advanced","Y","Advanced","Y"
"06005335001",1175774,"CA","Secondary","N","Secondary","N"
"06005294001",3478111,"CA","Secondary","N","Secondary","N"
"06001002001",1175168,"CA","Secondary","N","Secondary","N"
"06002008001",1175269,"CA","Advanced","Y","Advanced","Y"
"06001085001",1175236,"CA","Secondary","N","Secondary","N"
"06003030001",1175398,"CA","Advanced","Y","Advanced","Y"
"06004009002",1175478,"CA","Advanced","Y","Advanced","Y"
"06001069001",1175228,"CA","Secondary","Y","Secondary","Y"
