"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","FACILITY_NAME","DESCRIPTION","OWNER_TYPE","SUPERFUND_FLAG","SEMS_ID","SCF_ELIGIBLE","REVIEW_STATUS","REVIEW_TYPE","DATE_LAST_MODIFIED","NO_NEEDS"
"06001020001",1175189,"CA","Wastewater","RIO DELL WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06003044001",1175412,"CA","Wastewater","Watsonville WWTF","","Public","N","","N","FA","Partial",01-DEC-22,""
"06003115001",1175455,"CA","Wastewater","RIDGEMARK WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005060003",1175581,"CA","Wastewater","North Lakeport Collection System","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06005118001",1175649,"CA","Wastewater","RICHGROVE WWTF","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06005233001",1175721,"CA","Wastewater","Colfax WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,""
"06005239001",1175726,"CA","Wastewater","Antioch Collection System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06005325001",1175771,"CA","Wastewater","ORLAND WWTF","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06008002001",1175946,"CA","Wastewater","Newport Beach, City of (Collection)","","Public","N","","N","FA","Partial",01-MAR-23,""
"06001014001",433503,"CA","Wastewater","Hopland Band WWTP","","Public","N","","N","FA","Partial",01-MAR-23,"Y"
"06000203200",3509698,"CA","Wastewater","San Francisco PUC Collection System","","Public","N","","N","FA","Full",29-AUG-22,""
"06021010005",2902596,"CA","Stormwater","Eureka Storm Water System","","Public","N","","N","FA","Partial",29-AUG-22,""
"06002041001",1175299,"CA","Wastewater","San Jose/Santa Clara WPCP","","Public","N","","N","FA","Full",29-AUG-22,""
"06002155001",1175365,"CA","Wastewater","S. MARIN SUBREG OUTFALL","","Public","N","","N","FA","Partial",03-MAY-23,"Y"
"06003072001",1175440,"CA","Wastewater","GUADALUPE WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,""
"06005145001",1175665,"CA","Wastewater","LAKEPORT SOUTH WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
"06007022001",1175930,"CA","Wastewater","Brawley WWTP","","Public","N","","N","FA","Partial",01-DEC-22,""
"06008044001",1175998,"CA","Wastewater","Cypress, City of (Collection)","","Public","N","","N","FA","Partial",01-MAR-23,""
"06005082021",3489196,"CA","Wastewater","Forest Meadows STP","","Public","N","","Y","FA","Partial",03-MAY-23,"Y"
"06005047001",1175567,"CA","Wastewater","EARLIMART WWTF","","Public","N","","Y","FA","Partial",01-MAR-23,"Y"
