"FACILITY_DOCUMENT_ID","DOCUMENT_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_TYPE_ID","DOCUMENT_TYPE","PUBLISHED_DATE","BASE_MONTH_COST_INFO","CERT_FLAG","SELF_CERT_FLAG","AGE_CERT"
692,564,"06029041001",3138044,"CA","20","CIP or Master Plan",14-MAY-21,01-MAY-21,"","",""
626,564,"06009041002",1176080,"CA","20","CIP or Master Plan",14-MAY-21,01-MAY-21,"","",""
628,564,"06009041001",1176079,"CA","20","CIP or Master Plan",14-MAY-21,01-MAY-21,"","",""
693,565,"06029041001",3138044,"CA","96","Excel Spreadsheet Annotations",14-MAY-21,01-MAY-21,"","",""
627,565,"06009041002",1176080,"CA","96","Excel Spreadsheet Annotations",14-MAY-21,01-MAY-21,"","",""
629,565,"06009041001",1176079,"CA","96","Excel Spreadsheet Annotations",14-MAY-21,01-MAY-21,"","",""
995,828,"06002008001",1175269,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1001,829,"06022008001",2865324,"CA","96","Excel Spreadsheet Annotations",18-APR-22,01-APR-22,"","",""
996,829,"06002008001",1175269,"CA","96","Excel Spreadsheet Annotations",18-APR-22,01-APR-22,"","",""
1097,875,"06005009001",1175529,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1000,831,"06022008001",2865324,"CA","20","CIP or Master Plan",01-JAN-21,01-JAN-21,"","",""
1098,876,"06005009001",1175529,"CA","96","Excel Spreadsheet Annotations",04-MAY-22,01-MAY-22,"","",""
1679,1371,"06000000076",3607353,"CA","96","Excel Spreadsheet Annotations",10-MAY-22,01-MAY-22,"","",""
1682,1371,"06002026001",1175284,"CA","96","Excel Spreadsheet Annotations",10-MAY-22,01-MAY-22,"","",""
1691,1379,"06023029001",3378890,"CA","20","CIP or Master Plan",11-MAY-21,01-MAY-21,"","",""
1694,1379,"06003029002",1175397,"CA","20","CIP or Master Plan",11-MAY-21,01-MAY-21,"","",""
1564,1284,"06009074002",3334975,"CA","96","Excel Spreadsheet Annotations",04-MAY-22,01-MAY-22,"","",""
1566,1284,"06009074001",1176093,"CA","96","Excel Spreadsheet Annotations",04-MAY-22,01-MAY-22,"","",""
1689,1376,"06023029001",3378890,"CA","96","Excel Spreadsheet Annotations",10-MAY-22,01-MAY-22,"","",""
1695,1376,"06003029002",1175397,"CA","96","Excel Spreadsheet Annotations",10-MAY-22,01-MAY-22,"","",""
1563,1283,"06009074002",3334975,"CA","20","CIP or Master Plan",01-JAN-20,01-JAN-20,"","",""
1567,1283,"06009074001",1176093,"CA","20","CIP or Master Plan",01-JAN-20,01-JAN-20,"","",""
1261,1016,"06008020001",1175973,"CA","96","Excel Spreadsheet Annotations",03-MAY-22,01-MAY-22,"","",""
