"CWNS_ID","FACILITY_ID","STATE_CODE","PERMIT_NUMBER","PERMIT_SOURCE","PERMIT_TYPE"
"06008010006",3486596,"CA","R8-04-020","Non-NPDES","State"
"06008010006",3486596,"CA","CA8000073","NPDES","Individual Permit"
"06025266001",3233652,"CA","CA0000000","Non-NPDES","Permit not found in NPDES lookup"
"06001049001",1175215,"CA","CA0024040","NPDES","Individual Permit"
"06004009005",1175481,"CA","CA0054011","NPDES","Individual Permit"
"06003017001",1238812,"CA","CA0047996","NPDES","Individual Permit"
"06002060007",1175319,"CA","R2-86-86 ","Non-NPDES","State"
"06005077001",1175595,"CA","CA0078948","NPDES","Individual Permit"
"06005226001",1175717,"CA","CA0081485","NPDES","Individual Permit"
"06006009001",1175862,"CA","CA0102822","NPDES","Individual Permit"
"06008038001",1175992,"CA","CA0110604","NPDES","Individual Permit"
"06000000094",3607861,"CA","CAS612008","Non-NPDES","State - Other"
"06004010005",1175495,"CA","CA0053856","NPDES","Individual Permit"
"06000000103",3607909,"CA","CA0107409","NPDES","Individual Permit"
"06000000103",3607909,"CA","CA0109398","NPDES","Individual Permit"
"06000000105",3607961,"CA","CA8000304","NPDES","Individual Permit"
"06000000089",3607790,"CA","CA8000408","Non-NPDES","Permit not found in NPDES lookup"
"06008060001",1176008,"CA","CA0110604","NPDES","Individual Permit"
"06000000114",3608100,"CA","CA0038440","NPDES","Individual Permit"
"06000000118",3608104,"CA","CAS004002","NPDES","Individual Permit"
"06002052001",1175310,"CA","CA0037559","NPDES","Individual Permit"
"06006007001",1175860,"CA","2006-0003-DWQ","Non-NPDES","State - Other"
"06007021001",1175929,"CA","R7-2022-0008","Non-NPDES","State - Other"
"06005246001",1175732,"CA","R5-2021-0025","Non-NPDES","State - Other"
"06005551001",1175825,"CA","R5-2012-0045,","Non-NPDES","State - Other"
"06005306001",1175758,"CA","CAL000433","NPDES","Associated Permit Record"
"06000000230",3611330,"CA","2006-0003-DWQ","Non-NPDES","State - Other"
"06005316001",1175765,"CA","R5-2017-0109","Non-NPDES","Other"
"06002060003",1175317,"CA","2006-0003-DWQ","Non-NPDES","State - Other"
"06005014001",1175536,"CA","N0.·5-00-193","Non-NPDES","Other"
"06005325001",1175771,"CA","R5-2010-0087","Non-NPDES","Other"
"06005511002",1175815,"CA","R5-2013-0062","Non-NPDES","Other"
