"CWNS_ID","FACILITY_ID","STATE_CODE","FACILITY_TYPE","CHANGE_TYPE"
"06000000082",3607552,"CA","Collection: Separate Sewers","Rehabilitation"
"06000000082",3607552,"CA","Collection: Separate Sewers","Replacement"
"06000000082",3607552,"CA","Collection: Separate Sewers","Expansion"
"06000000171",3609136,"CA","Water Reuse","No Change"
"06000000176",3609213,"CA","Collection: Separate Sewers","Rehabilitation"
"06000000176",3609213,"CA","Collection: Separate Sewers","Replacement"
"06002036001",1175294,"CA","Collection: Interceptor Sewers","Rehabilitation"
"06002036001",1175294,"CA","Collection: Interceptor Sewers","Replacement"
"06000000166",3609120,"CA","Phase II MS4","Rehabilitation"
"06000000166",3609120,"CA","Phase II MS4","Replacement"
"06003033001",3486842,"CA","Treatment Plant","No Change"
"06000000199",3609569,"CA","Phase I MS4","Rehabilitation"
"06000000199",3609569,"CA","Phase I MS4","Replacement"
"06000000199",3609569,"CA","Phase I MS4","Process Improvement"
"06002082001",1175340,"CA","Water Reuse","New"
"06003037001",1175402,"CA","Water Reuse","Rehabilitation"
"06003044001",1175412,"CA","Water Reuse","Rehabilitation"
"06003044001",1175412,"CA","Water Reuse","Replacement"
"06008036001",1175991,"CA","Collection: Separate Sewers","Rehabilitation"
"06008036001",1175991,"CA","Collection: Separate Sewers","Replacement"
"06005076001",1175594,"CA","Collection: Separate Sewers","No Change"
"06008015001",1175965,"CA","Collection: Separate Sewers","Rehabilitation"
"06008015001",1175965,"CA","Collection: Separate Sewers","Replacement"
"06002074001",1175336,"CA","Treatment Plant","No Change"
"06003012001",1175381,"CA","Treatment Plant","Rehabilitation"
"06003012001",1175381,"CA","Treatment Plant","Replacement"
"06003012001",1175381,"CA","Treatment Plant","Improve Energy Efficiency"
"06004010004",1175494,"CA","Treatment Plant","Rehabilitation"
"06008016001",1175967,"CA","Collection: Separate Sewers","Rehabilitation"
"06008016001",1175967,"CA","Collection: Separate Sewers","Replacement"
"06005010001",1175530,"CA","Treatment Plant","Rehabilitation"
"06005010001",1175530,"CA","Treatment Plant","Replacement"
"06008015001",1175965,"CA","Collection: Separate Sewers","Increase Capacity"
"06001085001",1175236,"CA","Collection: Separate Sewers","No Change"
"06004009002",1175478,"CA","Collection: Separate Sewers","Rehabilitation"
"06004009002",1175478,"CA","Collection: Separate Sewers","Replacement"
"06004009002",1175478,"CA","Collection: Separate Sewers","Increase Capacity"
"06004009007",1175483,"CA","Collection: Separate Sewers","Rehabilitation"
"06004009007",1175483,"CA","Collection: Separate Sewers","Replacement"
"06004009007",1175483,"CA","Collection: Separate Sewers","Increase Capacity"
"06001012001",1175182,"CA","Treatment Plant","No Change"
"06001048001",1175214,"CA","Collection: Separate Sewers","No Change"
"06002027001",1175285,"CA","Collection: Separate Sewers","No Change"
"06003005001",1175376,"CA","Collection: Separate Sewers","No Change"
"06003061001",1175428,"CA","Treatment Plant","Rehabilitation"
"06003061001",1175428,"CA","Treatment Plant","Replacement"
"06005062001",1175583,"CA","Treatment Plant","Rehabilitation"
"06005062001",1175583,"CA","Treatment Plant","Replacement"
"06008029001",1175985,"CA","Collection: Separate Sewers","Rehabilitation"
"06008029001",1175985,"CA","Collection: Separate Sewers","Replacement"
"06001045003",1175211,"CA","Collection: Separate Sewers","No Change"
"06005085001",1175606,"CA","Collection: Separate Sewers","No Change"
"06002053001",1175311,"CA","Collection: Separate Sewers","Rehabilitation"
"06002053001",1175311,"CA","Collection: Separate Sewers","Replacement"
"06002060007",1175319,"CA","Treatment Plant","No Change"
"06005226001",1175717,"CA","Treatment Plant","No Change"
"06005360001",1238827,"CA","Treatment Plant","Rehabilitation"
"06005360001",1238827,"CA","Treatment Plant","Replacement"
"06002026001",1175284,"CA","Collection: Separate Sewers","Rehabilitation"
"06005044001",1175564,"CA","Collection: Separate Sewers","No Change"
"06005088002",1175609,"CA","Treatment Plant","No Change"
"06001691001",1175260,"CA","Collection: Separate Sewers","No Change"
"06002123001",1175357,"CA","Collection: Separate Sewers","No Change"
"06004016001",1175503,"CA","Collection: Separate Sewers","Rehabilitation"
"06004016001",1175503,"CA","Collection: Separate Sewers","Replacement"
"06008014001",1175964,"CA","Collection: Separate Sewers","Rehabilitation"
"06008014001",1175964,"CA","Collection: Separate Sewers","Replacement"
"06008080001",1176025,"CA","Treatment Plant","No Change"
"06008080001",1176025,"CA","Collection: Separate Sewers","No Change"
"06005186001",1175695,"CA","Collection: Separate Sewers","No Change"
"06024006001",3517876,"CA","Phase I MS4","Rehabilitation"
"06008010003",1175961,"CA","Collection: Interceptor Sewers","Rehabilitation"
"06008010003",1175961,"CA","Collection: Interceptor Sewers","Replacement"
"06000000140",3608711,"CA","Treatment Plant","No Change"
"06000000208",3609709,"CA","Phase II MS4","Rehabilitation"
"06000000086",3607691,"CA","Phase II MS4","Rehabilitation"
"06000000086",3607691,"CA","Phase II MS4","Replacement"
"06009023001",1176055,"CA","Collection: Separate Sewers","Rehabilitation"
"06009023001",1176055,"CA","Collection: Separate Sewers","Replacement"
"06005068001",1175588,"CA","Water Reuse","New"
"06000000089",3607790,"CA","Water Reuse","No Change"
"06000000112",3608022,"CA","Collection: Separate Sewers","No Change"
"06000000091",3607829,"CA","Collection: Separate Sewers","Rehabilitation"
"06000000091",3607829,"CA","Collection: Separate Sewers","Replacement"
"06000000135",3608519,"CA","Phase II MS4","Rehabilitation"
"06000000135",3608519,"CA","Phase II MS4","Replacement"
"06000000295",3612367,"CA","Collection: Separate Sewers","Rehabilitation"
"06000000295",3612367,"CA","Collection: Separate Sewers","Replacement"
"06008023002",2945322,"CA","Collection: Interceptor Sewers","Rehabilitation"
"06008023002",2945322,"CA","Collection: Interceptor Sewers","Replacement"
"06000000065",3606861,"CA","Treatment Plant","Rehabilitation"
"06000000065",3606861,"CA","Treatment Plant","Replacement"
"06000000081",3607551,"CA","Collection: Pump Stations","No Change"
"06000000104",3607926,"CA","Collection: Separate Sewers","Rehabilitation"
"06000000104",3607926,"CA","Collection: Separate Sewers","Replacement"
"06004010005",1175495,"CA","Collection: Pump Stations","Rehabilitation"
"06004010005",1175495,"CA","Collection: Pump Stations","Replacement"
"06000000218",3610553,"CA","Phase II MS4","Rehabilitation"
"06000000218",3610553,"CA","Phase II MS4","Replacement"
"06008036001",1175991,"CA","Collection: Pump Stations","Rehabilitation"
"06008036001",1175991,"CA","Collection: Pump Stations","Replacement"
"06000000154",3608935,"CA","Treatment Plant","New"
"06000000192",3609417,"CA","Ground Water - Unknown Source","New"
"06000000308",3612879,"CA","Water Reuse","Expansion"
"06000000118",3608104,"CA","Phase I MS4","Rehabilitation"
"06005257001",1175740,"CA","Water Reuse","Rehabilitation"
"06005257001",1175740,"CA","Water Reuse","Replacement"
"06000000178",3609216,"CA","Phase II MS4","Rehabilitation"
"06000000178",3609216,"CA","Phase II MS4","Replacement"
"06009026005",1176061,"CA","Collection: Pump Stations","Rehabilitation"
"06003003001",1175374,"CA","Treatment Plant","No Change"
"06003070001",1175438,"CA","Collection: Separate Sewers","No Change"
"06005097001",1175617,"CA","Collection: Separate Sewers","No Change"
"06000000198",3609566,"CA","Phase I MS4","Rehabilitation"
"06000000198",3609566,"CA","Phase I MS4","Replacement"
