"FACILITY_DOCUMENT_COST_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_ID","DOCUMENT_TYPE","NEEDS_CATEGORY","COST_METHOD","BASE_AMOUNT","OFFICIAL_AMOUNT","SOLUTION_YEAR_START","SOLUTION_YEAR_END","SSO_FLAG","TREATMENT_PLANT_TYPE","SSA_FLAG"
2767,"06029041001",3138044,"CA",564,"20","VI-B","Documented",3275000,3300704,,,"","",""
3293,"06002008001",1175269,"CA",828,"20","II","Documented",283511469,304717765,,,"N","",""
3294,"06002008001",1175269,"CA",828,"20","III-A","Documented",113646,122147,,,"N","",""
3295,"06002008001",1175269,"CA",828,"20","X","Documented",6072067,6526250,,,"","",""
2657,"06009041002",1176080,"CA",564,"20","X","Documented",41604887,43452259,,,"","",""
2653,"06009041002",1176080,"CA",564,"20","II","Documented",9050000,9451845,,,"N","Secondary Mechanical",""
2661,"06009041001",1176079,"CA",564,"20","IV-B","Documented",51000000,53264541,,,"N","",""
3622,"06008020001",1175973,"CA",1015,"20","III-B","Documented",4713000,4888233,,,"N","",""
3623,"06008020001",1175973,"CA",1015,"20","IV-B","Documented",4758500,4935425,,,"N","",""
3624,"06008020001",1175973,"CA",1015,"20","X","Documented",7504040,7783046,,,"","",""
4269,"06023029001",3378890,"CA",1379,"20","VI-B","Documented",5300000,5341598,,,"","",""
4273,"06003029002",1175397,"CA",1379,"20","IV-A","Documented",1800000,1814128,,,"N","",""
4274,"06003029002",1175397,"CA",1379,"20","IV-B","Documented",959000,966527,,,"Y","",""
3408,"06005009001",1175529,"CA",875,"20","II","Documented",123580000,132823626,,,"N","",""
3409,"06005009001",1175529,"CA",875,"20","III-B","Documented",25000,26870,,,"N","",""
3410,"06005009001",1175529,"CA",875,"20","IV-B","Documented",142325000,152970728,,,"N","",""
3411,"06005009001",1175529,"CA",875,"20","X","Documented",410688825,441407825,,,"","",""
3478,"06005065001",1175586,"CA",910,"20","III-B","Documented",20493007,22025858,,,"N","",""
3479,"06005065001",1175586,"CA",910,"20","IV-A","Documented",3543616,3808674,,,"N","",""
3632,"06008020003",3518636,"CA",1015,"20","IV-A","Documented",5302000,5499133,,,"N","",""
4011,"06002008001",1175269,"CA",1250,"3","II","Documented",215096000,239939256,,,"N","",""
4083,"06009074002",3334975,"CA",1283,"20","II","Documented",4028000,4236243,,,"N","",""
4084,"06009074002",3334975,"CA",1283,"20","IV-B","Documented",610000,641536,,,"N","",""
4085,"06009074002",3334975,"CA",1283,"20","X","Documented",665000,699380,,,"","",""
3481,"06000000066",3606862,"CA",910,"20","VI-A","Documented",1806000,1873148,,,"","",""
2655,"06009041002",1176080,"CA",564,"20","III-B","Documented",77977500,81439916,,,"N","",""
2656,"06009041002",1176080,"CA",564,"20","IV-B","Documented",4100000,4282051,,,"N","",""
2658,"06009041001",1176079,"CA",564,"20","II","Documented",750000,783302,,,"N","",""
3620,"06002029001",1175287,"CA",1012,"20","II","Documented",14878000,14878000,,,"N","",""
3621,"06002029001",1175287,"CA",1012,"20","III-B","Documented",40200000,40200000,,,"N","",""
5530,"06000000085",3607599,"CA",2407,"20","VI-A","Documented",425000,422361,,,"","",""
4402,"06000000073",3607081,"CA",1476,"20","II","Documented",84605548,94395710,,,"N","",""
5356,"06003012001",1175381,"CA",2277,"20","II","Documented",65380000,67654497,,,"N","",""
5357,"06003012001",1175381,"CA",2277,"20","III-B","Documented",66000000,68296066,,,"N","",""
5393,"06000000082",3607552,"CA",2304,"20","II","Documented",7050000,7649887,,,"N","",""
5394,"06000000082",3607552,"CA",2304,"20","III-B","Documented",4927000,5346240,,,"N","",""
5395,"06000000082",3607552,"CA",2304,"20","IV-A","Documented",16600000,18012500,,,"N","",""
5396,"06000000082",3607552,"CA",2304,"20","X","Documented",41740000,45291672,,,"","",""
5402,"06000000083",3607553,"CA",2304,"20","II","Documented",25250000,26439583,,,"N","",""
5467,"06002032005",443709,"CA",2370,"20","I","Documented",598662133,598662133,,,"N","",""
5468,"06002032005",443709,"CA",2370,"20","III-B","Documented",175772176,175772176,,,"N","",""
5481,"06022032001",3217908,"CA",2370,"20","VI-A","Documented",630893663,630893663,,,"","",""
5482,"06022032001",3217908,"CA",2370,"20","VI-B","Documented",340410272,340410272,,,"","",""
4585,"06002038001",1175296,"CA",1625,"20","II","Documented",14700000,14815376,,,"N","",""
4586,"06002038001",1175296,"CA",1625,"20","III-B","Documented",14000000,14109882,,,"N","",""
4587,"06002038001",1175296,"CA",1625,"20","IV-A","Documented",6500000,6551016,,,"N","",""
4588,"06002038001",1175296,"CA",1625,"20","IV-B","Documented",1000000,1007849,,,"N","",""
5156,"06004009006",1175482,"CA",2080,"20","III-B","Documented",22630000,21766905,,,"Y","",""
5155,"06004009006",1175482,"CA",2080,"20","II","Documented",33650041,32366648,,,"N","",""
5157,"06004009006",1175482,"CA",2080,"20","IV-B","Documented",1300000,1250419,,,"N","",""
5101,"06000000080",3607474,"CA",2066,"20","III-B","Documented",98900000,96176657,,,"Y","",""
5111,"06004009001",1175477,"CA",2080,"20","I","Documented",1276132205,1227461262,,,"N","",""
5112,"06004009001",1175477,"CA",2080,"20","II","Documented",3750000,3606977,,,"N","",""
5113,"06004009001",1175477,"CA",2080,"20","III-B","Documented",1414747500,1360789850,,,"Y","",""
5114,"06004009001",1175477,"CA",2080,"20","IV-B","Documented",49480000,47592861,,,"N","",""
4696,"06000000068",3606909,"CA",1734,"20","II","Documented",67000,66904,,,"N","",""
5163,"06004009014",3482611,"CA",2080,"20","I","Documented",483873,449128,,,"N","",""
5164,"06004009007",1175483,"CA",2080,"20","II","Documented",23210000,22324784,,,"N","",""
5165,"06004009007",1175483,"CA",2080,"20","III-B","Documented",25700000,24719817,,,"Y","",""
19049,"06003094001",406088,"CA",7628,"20","III-B","Documented",994415,992995,,,"N","",""
5358,"06003012001",1175381,"CA",2281,"3","IV-A","Documented",2572030,2823677,,,"N","",""
5359,"06003012001",1175381,"CA",2279,"3","X","Documented",59446031,58131827,,,"","",""
