"CWNS_ID","FACILITY_ID","LOCATION_TYPE","LATITUDE","LONGITUDE","DATUM","ADDRESS","ADDRESS_2","CITY","STATE_CODE","ZIP_CODE","COUNTY_FIPS","COUNTY_NAME"
"06003019001",1175386,"Point","36.489558","-121.470165","NAD83","Short Rd","","Soledad","CA","93960","",""
"06009004001",1176034,"Point","33.367596","-117.258904","NAD83","1425 South Alturas Rd","","Fallbrook","CA","92028","",""
"06003016001",1175384,"Point","34.612239","-120.203366","NAD83","79 Industrial Way","","Buellton","CA","93427","",""
"06003028001",1175395,"Point","35.138319","-120.632821","NAD83","Frady Ln","","Pismo Beach","CA","93449","",""
"06005047001",1175567,"Point","35.888433","-119.267707","NAD83","N Church Rd","","Earlimart","CA","93219","",""
"06005108001",1175640,"Point","37.619602","-120.874586","NAD83","6700 Leedom Rd","Charles St. and Leedom Rd.","Hughson","CA","95326","",""
"06005551001",1175825,"Point","38.731657","-120.847517","NAD83","2300 Coolwater Creek Rd","","Placerville","CA","95667","",""
"06005033001",1238815,"Point","39.1697","-122.1536","NAD83","700 B STREET","","Williams","CA","95987","",""
"06028078001",3514416,"Point","33.679676","-117.873688","NAD83","290 Paularino Ave","","Costa Mesa","CA","92626","",""
"06008020003",3518636,"Point","33.821242","-117.509020","NAD83","3997 Temescal Canyon Rd","","Corona","CA","92883","",""
"06004012500",3531736,"Point","34.1477","-118.1441","NAD83","100 Garfield Ave. North","","Pasadena","CA","91101","",""
"06001014001",433503,"Point","38.9752","-123.0994","NAD83","13101 nokomis road","","Hopland","CA","95449","",""
"06009014001",1176045,"Point","33.086782","-117.266248","NAD83","1960 La Costa Ave","","Carlsbad","CA","92009","",""
"06000000162",3609020,"City","33.844703","-118.386794","NAD83","","","New Castle","CA","90277","",""
"06000000161",3609019,"Point","33.844707","-118.386735","NAD83","244 N Pacific Coast Hwy","","Redondo Beach","CA","90277","",""
"06002035001",1175293,"Point","37.319595","-122.031326","NAD83","","","Cupertino","CA","95014","",""
"06000000163",3609024,"City","37.625092","-122.413337","NAD83","","","Silt","CA","94066","",""
"06000000166",3609120,"City","32.767646","-117.022076","NAD83","","","Temple City","CA","","",""
"06000000167",3609122,"Point","32.764759","-117.021904","NAD83","4731 Date Ave","","La Mesa","CA","91942","",""
"06008073001",1176019,"Point","33.8628356","-117.8278821","NAD83","1717 E Miraloma Ave","","Placentia","CA","92870","",""
"06000000175",3609168,"City","36.068805","-119.021416","NAD83","","","Log Lane Village","CA","","",""
"06000000133",3608440,"Point","40.580845","-122.344437","NAD83","1804 Shady Ln","","Redding","CA","96002","",""
"06002016001",1175275,"Point","37.4849159","-122.2273204","NAD83","1017 Middlefield Road","","Redwood City","CA","94063","",""
"06008045001",1175999,"Point","33.917562","-117.888730","NAD83","1 Civic Center Cir","","Brea","CA","92821","",""
"06000000178",3609216,"City","32.950487","-117.039413","NAD83","","","Manassa","CA","","",""
"06000000179",3609238,"City","37.912784","-122.056732","NAD83","","","Marshall","CA","","",""
"06012001032",2856163,"City","37.915493","-122.309074","NAD83","","","Ontario","CA","","",""
"06000000185",3609289,"City","34.419514","-119.698523","NAD83","","","Villa Grove","CA","93101","",""
"06000000186",3609295,"City","37.960982","-122.338600","NAD83","","","Two Buttes","CA","","",""
"06000000188",3609335,"City","38.248427","-122.075958","NAD83","","","Paskenta","CA","","",""
"06001010005",1175180,"Point","40.766290","-124.195290","NAD83","4301 Hilfiker Ln","","Eureka","CA","95501","",""
"06002109001",1175348,"Point","37.6894","-121.8075","NAD83","101 W. JACK LONDON BLVD.","","Livermore","CA","94551","",""
"06003038001",1175403,"Point","37.1539","-122.1649","NAD83","701 Ocean Street"," Room 410 ","Santa Cruz","CA","95060","",""
"06005249003",1175735,"Point","38.635863","-121.059294","NAD83","1000 Blackstone Pkwy, El Dorado Hills, CA 95762","","El Dorado Hills","CA","95762","",""
"06006011001",1175864,"Point","37.8133","-118.9972","NAD83","Bald Mountain Road","","June Lake","CA","93529","",""
"06001054001",1175220,"Point","41.431755","-122.375035","NAD83","1542 Alameda Weed, CA, 96094","","Weed","CA","96094","",""
"06002021001",1175279,"Point","38.0482","-122.1839","NAD83","END OF CANYON LAKE DRIVE","","Port Costa","CA","94569","",""
"06005162001",1175680,"Point","38.2023","-120.6889","NAD83","675 GOLD OAK ROAD","","San Andreas","CA","95249","",""
"06008010001",1175959,"Point","34.026824","-117.598922","NAD83","2662 E Walnut St","","Ontario","CA","91761","",""
"06009041001",1176079,"Point","33.1802","-117.371","NAD83","1330 S. TAIT STREET","","Oceanside","CA","92054","",""
"06023029001",3378890,"City","36.670622","-121.640625","NAD83","","","Salida","CA","","",""
"06008023005",2942682,"Point","33.639204","-117.923813","NAD83","","","Newport Beach","CA","92603","",""
"06008023006",2942689,"Point","33.674640","-117.886047","NAD83","","","Costa Mesa","CA","92626","",""
"06005239001",1175726,"Point","38.016452","-121.815376","NAD83","","","Antioch","CA","94509","",""
"06000000122",3608176,"Point","33.734762","-117.425909","NAD83","13200 Shotgun Trail","","Corona","CA","92883","",""
"06000000146",3608836,"City","37.4849159","-122.2273204","NAD83","","","Niwot","CA","94063","",""
"06003046001",1175414,"Point","36.1831","-121.5372","NAD83","Pfeiffer Big Sur State Park","","Big Sur","CA","93920","",""
"06005246001",1175732,"Point","36.080078","-119.558887","NAD83","King Avenue and Pueblo Avenue","","Corcoran","CA","93212","",""
"06009025001",1176057,"Point","32.7341","-116.4302","NAD83","5555 Overland Ave MS 0384","","San Diego","CA","92123","",""
"06029041001",3138044,"City","33.196466","-117.380161","NAD83","","","Evergreen","CA","","",""
"06009074002",3334975,"Point","33.541895","-117.607355","NAD83","28793 Ortega Hwy","","San Juan Capistrano","CA","92675","",""
"06000000075",3607083,"Point","33.5065124","-117.6700749","NAD83","","","San Juan Capistrano","CA","92675","",""
"06003029002",1175397,"Point","36.674993","-121.657534","NAD83","200 Lincoln Ave","","Salinas","CA","93901","",""
"06000000080",3607474,"Point","37.432682","-121.943994","NAD83","700 Los Esteros Road","","San Jose","CA","95134","",""
"06000000082",3607552,"Point","33.736974","-116.355257","NAD83","43000 Cook St","","Palm Desert","CA","92211","",""
"06000000081",3607551,"Point","33.771228","-116.256037","NAD83","80609 Avenue 38","","Indio","CA","92203","",""
"06000000083",3607553,"Point","33.640419","-116.128063","NAD83","63-002 Fillmore St","","Thermal","CA","92274","",""
