"CWNS_ID","FACILITY_ID","STATE_CODE","INFRASTRUCTURE_TYPE","POPULATION_TYPE","RESIDENTIAL_POP_2022","RESIDENTIAL_POP_2042","NONRESIDENTIAL_POP_2022","NONRESIDENTIAL_POP_2042","TOTAL_RES_POPULATION_2022","TOTAL_RES_POPULATION_2042","TOTAL_NONRES_POPULATION_2022","TOTAL_NONRES_POPULATION_2042","TREATED_DISCHARGE_PERCENTAGE_2022","TREATED_DISCHARGE_PERCENTAGE_2042","NET_TREATED_POPULATION_2022","NET_TREATED_POPULATION_2042","NO_DISCHARGE_PERCENTAGE_2022","NO_DISCHARGE_PERCENTAGE_2042","NO_DISCHARGE_POPULATION_2022","NO_DISCHARGE_POPULATION_2042","PART_OF_SEWERSHED","END_FACILITY"
"06006012501",3533076,"CA","Wastewater","Receiving Collection",66389,68272,,,66389,68272,0,0,0,0,0,0,,,,,"Y",""
"06008010003",1175961,"CA","Wastewater","Receiving Collection",0,0,0,0,787123,995980,0,0,0,0,0,0,,,,,"Y",""
"06005009001",1175529,"CA","Wastewater","Receiving Collection",0,0,,,1771809,2059924,0,0,1,1,1771809,2059924,0,0.5,0,885905,"Y","Y"
"06000000065",3606861,"CA","Wastewater","Receiving Collection",0,0,0,0,204525,220718,0,0,1,1,204525,220718,0.5,0.5,102263,102263,"Y","Y"
"06001030001",1175198,"CA","Wastewater","Receiving Collection",11521,11521,,,11521,11521,0,0,0,0,0,0,,,,,"Y",""
"06002041001",1175299,"CA","Wastewater","Receiving Collection",0,0,0,0,1389338,1807956,47628,47628,1,1,1389338,1807956,0.1,0.1,138934,138934,"Y","Y"
"06002155001",1175365,"CA","Wastewater","Receiving Collection",26100,26100,,,26100,26100,0,0,1,1,26100,26100,,,,,"","Y"
"06003049001",1175417,"CA","Wastewater","Receiving Collection",31500,38209,,,31500,38209,0,0,1,1,31500,38209,1,1,31500,31500,"","Y"
"06003072001",1175440,"CA","Wastewater","Receiving Collection",6767,6767,,,6767,6767,0,0,1,1,6767,6767,1,1,6767,6767,"","Y"
"06005145001",1175665,"CA","Wastewater","Receiving Collection",4590,5101,,,4590,5101,0,0,1,1,4590,5101,1,1,4590,4590,"","Y"
"06007022001",1175930,"CA","Wastewater","Receiving Collection",42320,42320,,,42320,42320,0,0,1,1,42320,42320,,,,,"","Y"
"06008044001",1175998,"CA","Wastewater","Receiving Collection",45559,50038,,,45559,50038,0,0,0,0,0,0,,,,,"Y",""
"06005033001",1238815,"CA","Wastewater","Receiving Collection",4590,5330,,,4590,5330,0,0,1,1,4590,5330,,,,,"","Y"
"06005244001",1175730,"CA","Wastewater","Receiving Collection",23751,25776,,,23751,25776,0,0,1,1,23751,25776,,,,,"","Y"
"06007025001",1175933,"CA","Wastewater","Receiving Collection",68400,105300,,,68400,105300,0,0,1,1,68400,105300,,,,,"","Y"
"06008043001",1175997,"CA","Wastewater","Receiving Collection",1284,1284,,,1284,1284,0,0,0,0,0,0,,,,,"Y",""
"06009007001",1176038,"CA","Wastewater","Receiving Collection",241901,315000,,,241901,315000,0,0,0,0,0,0,,,,,"Y",""
"06006001003",3483576,"CA","Wastewater","Receiving Collection",11800,11800,,,11800,11800,0,0,0,0,0,0,,,,,"Y",""
"06002090001",3521216,"CA","Wastewater","Receiving Collection",39600,39600,,,39600,39600,0,0,1,1,39600,39600,,,,,"","Y"
"06000000114",3608100,"CA","Wastewater","Receiving Collection",0,0,0,0,0,0,0,0,1,1,0,0,,,,,"Y","Y"
"06001045001",1175209,"CA","Wastewater","Receiving Collection",198000,299700,,,262365,368674,0,0,1,1,262365,368674,0.75,0.75,196774,196774,"Y","Y"
"06000000195",3609479,"CA","Wastewater","Receiving Collection",0,0,0,0,0,21600,0,0,1,1,0,21600,0,1,0,0,"Y","Y"
"06000000214",3610513,"CA","Wastewater","Receiving Collection",44100,45000,,,44100,45000,0,0,0,0,0,0,,,,,"Y",""
"06001015001",1175184,"CA","Wastewater","Receiving Collection",15210,17348,,,15210,17348,0,0,1,1,15210,17348,,,,,"","Y"
"06001041001",1175206,"CA","Wastewater","Receiving Collection",5831,4327,,,11771,8647,0,0,1,1,11771,8647,,,,,"Y","Y"
"06002012001",1175273,"CA","Wastewater","Receiving Collection",61650,69300,0,0,164714,209393,0,0,1,1,164714,209393,0.05,0.05,8236,8236,"Y","Y"
"06002025001",1175283,"CA","Wastewater","Receiving Collection",440083,440083,,,552952,559174,0,0,1,1,552952,559174,0.1,0.1,55295,55295,"Y","Y"
"06002049001",1175309,"CA","Wastewater","Receiving Collection",5239,5239,,,5239,5239,0,0,0,0,0,0,,,,,"Y",""
"06002056001",1175312,"CA","Wastewater","Receiving Collection",3726,3726,,,3726,3726,0,0,0,0,0,0,,,,,"Y",""
"06002063002",1175323,"CA","Wastewater","Receiving Collection",387,387,,,387,387,0,0,1,1,387,387,,,,,"","Y"
"06001020001",1175189,"CA","Wastewater","Receiving Collection",2790,2790,,,2790,2790,0,0,1,1,2790,2790,0.5,0.5,1395,1395,"","Y"
"06001035001",1175201,"CA","Wastewater","Receiving Collection",7920,7920,,,7920,7920,0,0,1,1,7920,7920,1,1,7920,7920,"","Y"
"06003044001",1175412,"CA","Wastewater","Receiving Collection",49363,52200,,,58713,61152,0,0,1,1,58713,61152,0.63,0.63,36989,36989,"Y","Y"
"06003115001",1175455,"CA","Wastewater","Receiving Collection",4500,5285,,,4500,5285,0,0,1,1,4500,5285,1,1,4500,4500,"","Y"
"06003009001",1175378,"CA","Wastewater","Receiving Collection",24994,24994,,,24994,24994,0,0,1,1,24994,24994,1,1,24994,24994,"","Y"
"06003068001",1175436,"CA","Wastewater","Receiving Collection",504,544,,,504,544,0,0,1,1,504,544,,,,,"","Y"
"06004010005",1175495,"CA","Wastewater","Receiving Collection",3643825,3643825,423360,423360,3643825,3643825,423360,423360,0,0,0,0,,,,,"Y",""
"06005022001",1175543,"CA","Wastewater","Receiving Collection",7830,7830,,,7830,7830,0,0,1,1,7830,7830,1,1,7830,7830,"","Y"
"06005100001",1175620,"CA","Wastewater","Receiving Collection",181,221,,,181,221,0,0,0,0,0,0,,,,,"Y",""
"06005243001",1175729,"CA","Wastewater","Receiving Collection",3819,3578,,,3819,3578,0,0,1,1,3819,3578,,,,,"","Y"
"06005299001",1175755,"CA","Wastewater","Receiving Collection",2201,3349,,,2201,3349,0,0,1,1,2201,3349,1,1,2201,2201,"","Y"
"06000000078",3607384,"CA","Wastewater","Receiving Collection",132360,135315,,,132360,135315,0,0,0,0,0,0,,,,,"Y",""
"06000000082",3607552,"CA","Wastewater","Receiving Collection",117000,135000,,,117000,135000,0,0,1,1,117000,135000,1,1,117000,117000,"","Y"
"06008010001",1175959,"CA","Wastewater","Receiving Collection",0,0,0,0,409304,517910,0,0,1,1,409304,517910,0.4,0.4,163722,163722,"Y","Y"
"06000000092",3607832,"CA","Wastewater","Receiving Collection",30861,26387,,,30861,26387,0,0,0,0,0,0,,,,,"Y",""
"06008022002",1175977,"CA","Wastewater","Receiving Collection",,,,,983054,1053585,529,529,1,1,983054,1053585,,,,,"Y","Y"
"06009011001",1176042,"CA","Wastewater","Receiving Collection",0,0,0,0,363144,392864,0,0,0.9,0.9,326830,353578,,,,,"Y",""
"06009028001",1176063,"CA","Wastewater","Receiving Collection",0,0,0,0,20479,20475,423,423,1,1,20479,20475,,,,,"Y","Y"
"06000000104",3607926,"CA","Wastewater","Receiving Collection",396581,504053,,,396581,504053,0,0,0,0,0,0,,,,,"Y",""
"06000000105",3607961,"CA","Wastewater","Receiving Collection",0,0,0,0,403461,376419,0,0,1,1,403461,376419,,,,,"Y","Y"
"06000000106",3607985,"CA","Wastewater","Receiving Collection",54000,63000,,,54000,63000,0,0,0,0,0,0,,,,,"Y",""
"06000000112",3608022,"CA","Wastewater","Receiving Collection",22500,27000,,,22500,27000,0,0,0,0,0,0,,,,,"Y",""
"06000000121",3608175,"CA","Wastewater","Receiving Collection",209610,252270,,,209610,252270,0,0,0,0,0,0,,,,,"Y",""
"06000000132",3608439,"CA","Wastewater","Receiving Collection",0,0,0,0,0,1356,0,0,1,1,0,1356,0,1,0,0,"Y","Y"
"06000000131",3608421,"CA","Wastewater","Receiving Collection",9822,9822,,,9822,9822,0,0,0,0,0,0,,,,,"Y",""
"06000000140",3608711,"CA","Wastewater","Receiving Collection",23400,27881,,,23400,27881,0,0,1,1,23400,27881,1,1,23400,23400,"","Y"
"06000000161",3609019,"CA","Wastewater","Receiving Collection",59400,67500,,,59400,67500,0,0,0,0,0,0,,,,,"Y",""
"06000000154",3608935,"CA","Wastewater","Receiving Collection",0,25457,,,0,25457,0,0,1,1,0,25457,0,1,0,0,"","Y"
