PARAMETER_CODE,PARAMETER_DESC,POLLUTANT_CODE,STATUS_FLAG,UNIT_GROUP_CODE,PERCENT_REMOVAL_FLAG,PERCENT_EXCEEDENCE_FLAG,SNC_FLAG
4241,"Produced water, gross alpha radiation",10804,A,9,,Y,
4242,"Produced water, gross beta radiation",10969,A,9,,Y,
4243,"Produced water, toxicity",12133,A,55,,N,
4244,"Produced water, Radium 226, total",10430,A,9,,Y,
4245,"Produced water, Radium 228, total",10431,A,9,,Y,
4249,Produced water toxicity 7 day noec,12129,A,59,,Y,
4250,Bioaccumulation testing performed,10973,A,55,,N,
4252,"Butyl, 5-benzotriazole, total",10700,A,59,,Y,
4262,"Chromium, trivalent total recoverable",10215,A,59,,Y,
4270,"Chronic toxicity, daphnia magnia 21 dy",4245,A,16,,Y,
4278,"Seafood production, effluent # day/mo",12203,A,134,,Y,
4279,"RCRA/CERCLA substances, 40 CFR 261 subp c",12171,A,59,,Y,
4280,"Bisazer, total, water, ug/L",10981,A,59,,Y,
4310,Dicrotophos,12057,A,59,,Y,
4311,"Drilling fluid, end of well, 96-hr LC50",11221,A,59,,Y,
4312,"Drilling fluid, toxicity",11226,A,59,,Y,
4370,"Sum BOD and ammonia, water",12293,A,59,,Y,1
4379,"Well fluids, oil & grease",10364,A,59,,Y,
4382,"1,2-Dichloro-1,2-difluoroethane",11259,A,59,,Y,
4383,Thermal efficiency,12398,A,16,,Y,
4443,Diquat,11198,A,59,,Y,
4584,"Organics, gasoline range",11345,A,59,,Y,2
5501,"Gamma, total",11341,A,9,,Y,
5502,"Gamma, total counting error",11341,A,9,,Y,
7000,"Tritium, total",12446,I,9,,Y,
7001,"Tritium, total counting error [pc/L]",12447,A,9,,Y,
7020,"Tritium, total net increase H-3 units",12448,A,9,,Y,
9501,"Radium 226, total",10430,A,112,,Y,
9503,"Radium 226, dissolved",10430,A,112,,Y,2
11123,"Manganese, total recoverable",2423,A,59,,Y,1
11500,"Radium 226 & 228, dissolved",12175,A,9,,Y,
11501,"Radium 228, total",10431,A,112,,Y,2
11503,"Radium 226 + radium 228, total",12175,A,112,,Y,2
13501,"Strontium 90, total",12285,A,9,,Y,
17501,"Lead 210, total",11641,A,58,,Y,2
18501,Iodine 129,11426,A,9,,Y,
19500,Total polonium,12103,A,59,,Y,2
19501,Polonium 210,12104,A,58,,Y,2
20501,"Radium 223, total",12173,A,112,,Y,
22100,"Technetium 99, total [14]",12368,A,9,,Y,
22405,"Aluminum chloride, dissolved, water",10093,A,59,,Y,1
22409,Octachlorostyrene,10934,A,59,,Y,
22410,"Tris[2,3-dibromo- propyl] phosphate",10691,A,59,,Y,
22414,Whole effluent toxicity,4677,A,181,,Y,
22415,Whole effluent toxicity - retest #1,4677,A,55,,N,
22416,Whole effluent toxicity - retest #2,4677,A,55,,N,
22417,Methyl tert-butyl ether [MTBE],10418,A,59,N,Y,2
22418,"WET, sublethal retest #1",12509,A,55,,N,
22419,"WET, sublethal retest #2",12509,A,55,,N,
22454,Methoxypropylamine,10027,A,59,,Y,2
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100,A,59,N,Y,2
22501,Thorium [Thorium-232],4082,A,9,,Y,
22601,"Uranium 238, total",6439,A,9,,Y,
22622,"Uranium 235, total",12460,A,9,,Y,
22680,"Arsenic, trivalent dissolved",10833,A,59,,Y,
22703,"Uranium, dissolved",6439,A,59,,Y,2
