SAMPLE_TYPE_CODE,SAMPLE_TYPE_DESC
1,1 Hour Composite
2,2 Hour Composite
3,3 Hour Composite
4,4 Hour Composite
5,5 Hour Composite
6,6 Hour Composite
8,8 Hour Composite
10,10 Hour Composite
12,12 Hour Composite
16,18 Hour Composite
1H,1 Hour Average
20,20 Hour Composite
22,Batch
24,24 Hour Composite
28,28 Hour Composite
2H,2 Hour Average
2Y,2 Year Average
3G,3 Grabs/hour
3R,3 Grabs/24 hours
4C,4 Day 24 Hour Composite
4G,4 Grabs/24 hours
4H,4 Hour Average
4R,4 Grabs/8 Hours
5G,5 Grabs/45 minutes
72,72 Hour Composite
8R,8 Grabs/24 Hours
96,96 Hour Composite
99,Weekly Composite
999,See Comments
AH,HRDALL
BA,Bailed
C3,CS0-3
C6,CS0-60
C9,CS0-90
CA,Calculated
CG,Composite Grab
CN,Continuous
CP,Composite
CR,See Permit
CS,Flow-Weighted Composite
CT,Certified
CU,Curve
DA,Daily Average
DS,Discrete
ES,Estimate
FI,Flow Individual
G2,2 Grabs
G3,3 Grabs
G4,4 Grabs
G5,5 Grabs
G6,6 Grabs
G7,7 Grabs
G8,8 Grabs
G9,9 Grabs
GA,Grab Average
GC,Continuous Grab
GH,5 Grabs/24 hours
GM,10 Grabs
GR,Grab
IG,Integrative
IM,Immersion
IN,Instantaneous
IS,In Situ
IT,Immersion Stabilization
MC,Modified Composite
MF,MAGFLO
MG,Multiple Grab
MP,MATHCP
MS,Measured
MT,Meter
NA,Not Applicable
NR,Not Reported
OC,Occurs
PC,Pump Curve
PE,Reverse Phase Extraction [RPE]
PF,PARFLU
PL,Pump Log
R4,RNG-4A
RA,Rain Gauge
RC,Recorder (auto)
RD,Range During Sampling
RE,Record (manual)
RF,Recorded Flow
RG,RANG-C
RM,Real Time Monitoring (RTM)
RN,Range During Month
RP,REPRES
RT,Recorder Total
S1,Sequencing Batch Reactor 1
S2,Sequencing Batch Reactor 2
S3,Sequencing Batch Reactor 3
SB,Sequencing Batch Reactor
SC,SC0-15
SD,SURFSP
SE,Single
SG,Stream Gauge
SM,Summation
SR,Single Reading
SS,STAT-SH
ST,Static Sheen
TI,Time Meter
TM,Totalizer
UN,Unknown
VI,Visual
WE,Weir
