column,type,label,description
region,text,Region,Water Board office that regulates the discharge for which the result was provided. More information about Water Board regions can be found at: https://www.waterboards.ca.gov/waterboards_map.html
location,text,Location,"Name of monitoring location where sample was taken providing the given result. Generally these should match the names with the permit requiring the monitoring. Where this isn't possible (because of character length restrictions, for example), the following naming conventions should apply:  

• Influent (INF-001, INF-002)  

• Effluent (EFF-001, EFF-002 for different outfalls, or EFF-001A, EFF-001B for different monitoring locations on the same outfall). Effluent monitoring locations must be related to discharge points. Discharge point 001 is associated with EFF-001A and EFF-001B,
etc.  

• Internal (INT-001, INT-002…)  

• Receiving Surface Water (RSW-001, RSW-002, etc.; optionally RSW-001U, RSW001D, RSW-002U, RSW-002D, etc. for upstream and downstream reference in a stream or river)  

• Receiving Ground Water (RGW-001, RGW-002…)  

• Discharge to land (LND-001, LND-002…)  

• Reclamation Discharge (REC-001, REC-002…)  

• Water Supply Monitoring (SPL-001, SPL-002...)"
location_place_id,text,Location Place Identifier,Unique identifier associated with the monitoring location record.
location_place_type,text,Location Place Type,"Monitoring Location Type for which results are provided. Options include:

• Effluent Monitoring – monitoring of discharged water

• Groundwater Monitoring – monitoring of groundwater, either as receiving water or ambient water

• Influent Monitoring – monitoring of wastewater before treatment

• Internal Process Monitoring for Effluent Limitation Guidelines

• Receiving Water Monitoring

• Water Supply – monitoring of water being used

• Vadose Zone – Soil pore monitoring"
parameter,text,Parameter,"The attribute for which results are being reported. Generally this is a chemical analyte but other attributes are also available. A complete list of parameters can be found at: https://www.waterboards.ca.gov/water_issues/programs/ciwqs/docs/chc_npdes/parameter_reference_list.xlsx

Before being incorporated into this controlled vocabulary list, parameter names must be available at: http://www.edfdata.com/edfsource/validvaluelookup/PARLABEL?code_op=contains&code=&name_op=contains&name="
analytical_method_code,text,Analytical Method Code,"A code representing the method that was used to determine the result for the given parameter. ""Data Unavailable [DU]"" is used when the result wasn't determined using an analytical method or an analytical method code is not available in the controlled vocabulary list. A complete list of analytical methods and associated codes can be found at: https://www.waterboards.ca.gov/water_issues/programs/ciwqs/docs/chc_npdes/analytical_method_list.xlsx

Before being incorporated into this controlled vocabulary list, codes must be available at: http://www.edfdata.com/edfsource/validvaluelookup/ANMCODE?code_op=contains&code=&name_op=contains&name="
analytical_method,text,Analytical Method,"The method that was used to determine the result for the given parameter. ""Data Unavailable [DU]"" is used when the result wasn't determined using an analytical method or an analytical method code is not available in the controlled vocabulary list. A complete list of analytical methods and associated codes can be found at: https://www.waterboards.ca.gov/water_issues/programs/ciwqs/docs/chc_npdes/analytical_method_list.xlsx

Before being incorporated into this controlled vocabulary list, methods must be available at: http://www.edfdata.com/edfsource/validvaluelookup/ANMCODE?code_op=contains&code=&name_op=contains&name="
calculated_method,text,Calculated Method,"A brief description of the calculation performed, such as 6-month median. Often calculations are required to demonstrate compliance with limit basis that are specified in a permit. ""Raw"" analytical results should have the calculated method of ""single."""
qualifier,text,Qualifier,"Qualifies the analytical result of the sample. Options include:

• =

• <

• <=

• >

• >=

• ND (Non-detect)

• DNQ (Detected but not Quantified)"
result,numeric,Result,Numeric value corresponding to onsite conditions for the parameter.
units,text,Units,"The units describing the result. A complete list of units can be found at: https://www.waterboards.ca.gov/water_issues/programs/ciwqs/docs/chc_npdes/units.xlsx  

Before being incorporated into this controlled vocabulary list, units must be available at: http://www.edfdata.com/edfsource/validvaluelookup/UNITS?code_op=contains&code=&name_op=contains&name="
mdl,numeric,MDL,"The Method Detection Limit for the analytical method used to determine the result for the given parameter. MDLs are not appropriate for all parameters and methods. The business rules require an MDL for results that are ""non-detect."""
ml,numeric,ML,"The Minimum Level for the analytical test run to determine the result for the given parameter. MLs are not appropriate for all parameter and methods. The business rules require either an ML or an RL when the result is ""detected but not quantified."""
rl,numeric,RL,"The Reporting Limit for the analytical test run to determine the result for the given parameter. RLs are not appropriate for all parameters and methods. The business rules require either an ML or an RL when the result is ""detected but not quantified."""
sampling_date,timestamp,Sampling Date,"The date sample was collected. For composite samples, this should be the beginning of the compositing period."
sampling_time,text,Sampling Time,"The time sample was collected. For composite samples, this should be the beginning of the compositing period."
