Appendix A: Final 2024 303(d) List ,,,,,,,,,,,,,,,,,,,,,,,,
Regional Board,Regional Board Name,Waterbody Name,Waterbody ID,Waterbody Type,Estimated Size Affected,Unit,Integrated Report Category,Water Body CALWNUMS,Water Body Reach Codes,Water Body WBD Codes,Waterbody Counties,Decision ID,Pollutant,Pollutant Category,Sources,Final Listing Decision,Decision Status,TMDL Requirement Status,TMDL Project Name,Expected TMDL Completion Date,Expected Attainment Date,Date TMDL Approved by USEPA,Implementation Action Other than a TMDL,Comments
1,Regional Board 1 - North Coast Region,Big River Beach at Mendocino Bay,CAC1133004520081013235216,Coastal & Bay Shoreline,0.82,Miles,5,1113.300405,1.80E+13,"180101080703, 180101080803",Mendocino,79918,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Campbell Cove,CAC1152100020070319132228,Coastal & Bay Shoreline,0.24,Miles,5,"1115.210000, 1115.220000",1.81E+13,1.81E+11,Sonoma,77438,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Caspar Headlands State Beach,CAC1133004520081029154329,Coastal & Bay Shoreline,0.19,Miles,5,"1113.300404, 1113.300405",1.80E+13,1.80E+11,Mendocino,80155,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Clam Beach (near Mad River mouth),CAC1091001120110712113517,Coastal & Bay Shoreline,2.29,Miles,5,1109.100101,1.80E+13,1.80E+11,Humboldt,73281,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,Clam Beach (near Strawberry Creek),CAC1091002020070319150720,Coastal & Bay Shoreline,1.3,Miles,5,"1108.200002, 1109.100200, 1109.100300","18010102000256, 18010102000257, 18010102001249",1.80E+11,Humboldt,79620,Indicator Bacteria,Pathogens,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2022,,,,
1,Regional Board 1 - North Coast Region,"Eel River HU, Lower Eel River HA (includes the Eel River Delta)",CAR1111103219980709182643,River & Stream,1117.35,Miles,5,"1111.110101, 1111.110102, 1111.110103, 1111.110201, 1111.110202, 1111.110203, 1111.110301, 1111.110302, 1111.110303, 1111.120101, (Total Count: 20)","18010105000007, 18010105000013, 18010105000014, 18010105000018, 18010105000023, 18010105000024, 18010105000028, 18010105000029, 18010105000030, 18010105000235, (Total Count: 600)","180101050303, 180101050502, 180101050601, 180101050602, 180101050906, 180101051001, 180101051002, 180101051003, 180101051101, 180101051102",Humboldt,72967,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,This listing for aluminum only applies to the mainstem Eel River in the Lower Eel River HA.
1,Regional Board 1 - North Coast Region,"Eel River HU, Lower Eel River HA (includes the Eel River Delta)",CAR1111103219980709182643,River & Stream,1117.35,Miles,5,"1111.110101, 1111.110102, 1111.110103, 1111.110201, 1111.110202, 1111.110203, 1111.110301, 1111.110302, 1111.110303, 1111.120101, (Total Count: 20)","18010105000007, 18010105000013, 18010105000014, 18010105000018, 18010105000023, 18010105000024, 18010105000028, 18010105000029, 18010105000030, 18010105000235, (Total Count: 600)","180101050303, 180101050502, 180101050601, 180101050602, 180101050906, 180101051001, 180101051002, 180101051003, 180101051101, 180101051102",Humboldt,78520,"Oxygen, Dissolved",Nutrients,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2021,,,,"This listing only applies to McNulty Slough, which lies within the Eel River HU, Lower Eel River HA (includes the Eel River Delta) water body."
1,Regional Board 1 - North Coast Region,"Eel River HU, Middle Fork HA, Eden Valley and Round Valley HSAs",CAR1117104419980710113432,River & Stream,2705.51,Miles,5,"1111.620602, 1111.710101, 1111.710102, 1111.710204, 1111.710404, 1111.710406, 1111.720201, 1111.720202, 1111.720400, 1111.740402","18010104008330, 18010104009120, 18010104009331, 18010104010830, 18010104012749, 18010104013463, 18010104015028, 18010104016598, 18010104016694, 18010104022636","180101040105, 180101040301, 180101040304, 180101040401, 180101040402, 180101040403, 180101040501, 180101040502, 180101040506, 180101040507","Lake, Mendocino",74536,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing for aluminum only applies to the mainstem Middle Fork Eel River in the Eel River HU, Middle Fork HA, Eden Valley and Round Valley HSAs water body."
1,Regional Board 1 - North Coast Region,"Eel River HU, Middle Main HA",CAR1114106119990601095147,River & Stream,1588.23,Miles,5,"1111.320104, 1111.410102, 1111.410303, 1111.410501, 1111.420101, 1111.420102, 1111.420203, 1111.420601, 1111.420604, 1111.500605","18010105000515, 18010105001300, 18010105001535, 18010105002115, 18010105003174, 18010105005959, 18010105006965, 18010105007251, 18010105008185, 18010105008204","180101040507, 180101050101, 180101050109, 180101050203, 180101050205, 180101050302, 180101050303, 180101050404, 180101050405, 180101051001","Humboldt, Mendocino, Trinity",73241,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2025,,,,"This listing for aluminum only applies to the mainstem Eel River in the  Eel River HU, Middle Main HA ."
1,Regional Board 1 - North Coast Region,"Eel River HU, South Fork HA",CAR1113103019980710155233,River & Stream,1524.79,Miles,5,"1111.310202, 1111.320101, 1111.320102, 1111.320103, 1111.320201, 1111.320203, 1111.320301, 1111.320302, 1111.320806, 1111.330102","18010106000181, 18010106000538, 18010106000634, 18010106000862, 18010106000940, 18010106001016, 18010106001033, 18010106001614, 18010106001744, 18010106001796","180101060102, 180101060104, 180101060202, 180101060301, 180101060302, 180101060303, 180101060305, 180101060401, 180101060404, 180101060406","Humboldt, Mendocino",74643,Aluminum,Metals,A Source Unknown,Do Not Delist from 303(d) list (TMDL required list),Revised,5A,,2031,,,,This listing for aluminum only applies to the mainstem South Fork Eel River in the South Fork Eel River HA.  The listing does not include Elder Creek or any other tributary in the South Fork Eel River HA.
