IR_PARAMETER_DESC,CATEGORY
Indicator Bacteria,Pathogens
Aluminum,Metals
"Oxygen, Dissolved",Dissolved Oxygen
Mercury,Metals
Sedimentation/Siltation,Non-dissolved Solids
Dioxin Toxic Equivalents,Toxic Organics
PCBs (Polychlorinated biphenyls),Toxic Organics
Sediment,Non-dissolved Solids
pH,pH
"Temperature, water",Temperature
Turbidity,Color
Specific Conductivity,Dissolved Solids
Diazinon,Toxic Organics
Phosphorus,Nutrients
Manganese,Metals
Cyanobacteria hepatotoxic microcystins,Pathogens
Nutrients,Not Yet Categorized
Organic Enrichment/Low Dissolved Oxygen,Dissolved Oxygen
Invasive Species,Other
Total Dissolved Solids,Dissolved Solids
Arsenic,Toxic Inorganics
Biostimulatory Conditions,Other
Nickel,Metals
Copper,Metals
Boron,Inorganics
pH (high),pH
Eutrophication,pH
Chlordane,Toxic Organics
DDT (Dichlorodiphenyltrichloroethane),Toxic Organics
Dieldrin,Toxic Organics
"Dioxin compounds (including 2,3,7,8-TCDD)",Toxic Organics
Furan Compounds,Toxic Organics
PAHs (Polycyclic Aromatic Hydrocarbons),Toxic Organics
Selenium,Metals
Toxicity,Total Toxics
Ammonia,Not Yet Categorized
Hydrogen Sulfide,Toxic Inorganics
Trash,Other
Lead,Metals
Silver,Metals
Zinc,Metals
"Total DDT (sum of 4,4'- and 2,4'- isomers of DDT, DDE, and DDD)",Toxic Organics
Heptachlor epoxide,Toxic Organics
Toxaphene,Toxic Organics
Salinity/TDS/Chlorides,Dissolved Solids
PCBs (Polychlorinated biphenyls) (sediment),Toxic Organics
Chloride,Dissolved Solids
PCBs (Polychlorinated biphenyls) (dioxin-like),Toxic Organics
Fipronil,Toxic Organics
Bifenthrin,Toxic Organics
Cypermethrin,Toxic Organics
Pyrethroids,Toxic Organics
Deltamethrin,Toxic Organics
Cyfluthrin,Toxic Organics
Imidacloprid,Toxic Organics
Mercury (sediment),Non-dissolved Solids
Dacthal,Toxic Organics
Escherichia coli (E. coli),Pathogens
Benthic Community Effects,Other
Nitrate,Not Yet Categorized
Fecal Coliform,Toxic Organics
Sodium,Dissolved Solids
Chlorophyll-a,Not Yet Categorized
DDD (Dichlorodiphenyldichloroethane),Toxic Organics
DDE (Dichlorodiphenyldichloroethylene),Toxic Organics
Dimethoate,Toxic Organics
Malathion,Toxic Organics
