Number compound,CAS No.,B1,B2,C1,C2,D1,D2
1. Antimony,7440360,,,,,a s 14,a t 4300
2. Arsenicb,7440382,i m w 340,i m w 150,i m 69,i m 36,,
3. Beryllium,7440417,,,,,(n),(n)
4. Cadmiumb,7440439,e i m w x 4.3,e i m w 2.2,i m 42,i m 9.3,(n),(n)
5a. Chromium (III),16065831,e i m o 550,e i m o 180,,,(n),(n)
5b. Chromium (VI)b,18540299,i m w 16,i m w 11,i m 1100,i m 50,(n),(n)
6. Copperb,7440508,e i m w x 13,e i m w 9.0,i m 4.8,i m 3.1,1300,
7. Leadb,7439921,e i m z 65,e i m z 2.5,i m 210,i m 8.1,(n),(n)
8. Mercuryb,7439976,[Reserved],[Reserved],[Reserved],[Reserved],a 0.050,a 0.051
9. Nickelb,7440020,e i m w 470,e i m w 52,i m 74,i m 8.2,a 610,a 4600
10. Seleniumb,7782492,p[Reserved],q 5.0,i m 290,i m 71,(n),(n)
11. Silverb,7440224,e i m 3.4,,i m 1.9,,,
12. Thallium,7440280,,,,,a s 1.7,a t 6.3
13. Zincb,7440666,e i m w x120,e i m w 120,i m 90,i m 81,,
14. Cyanideb,57125,o 22,o 5.2,r thnsp;1,r 1,a 700,"a j 220,000"
15. Asbestos,1332214,,,,,"k s 7,000,000 fibers/l",
"16. 2,3,7,8-TCDD (Dioxin)",1746016,,,,,c> 0.000000013,c> 0.000000014
17. Acrolein,107028,,,,,s> 320,t> 780
18. Acrylonitrile,107131,,,,,a c s 0.059,a c t 0.66
19. Benzene,71432,,,,,a c 1.2,a c 71
20. Bromoform,75252,,,,,a c 4.3,a c 360
21. Carbon Tetrachloride,56235,,,,,a c s 0.25,a c t 4.4
22. Chlorobenzene,108907,,,,,a s 680,"a j t 21,000"
23. Chlorodibromomethane,124481,,,,,a c y 0.41,a c 34
24. Chloroethane,75003,,,,,,
25. 2-Chloroethylvinyl Ether,110758,,,,,,
26. Chloroform,67663,,,,,[Reserved],[Reserved]
27. Dichlorobromomethane,75274,,,,,a c y 0.56,a c 46
"28. 1,1-Dichloroethane",75343,,,,,,
"29. 1,2-Dichloroethane",107062,,,,,a c s 0.38,a c t 99
"30. 1,1-Dichloroethylene",75354,,,,,a c s 0.057,a c t 3.2
"31. 1,2-Dichloropropane",78875,,,,,a 0.52,a 39
"32. 1,3-Dichloropropylene",542756,,,,,a s 10,"a t 1,700"
33. Ethylbenzene,100414,,,,,"a s 3,100","a t 29,000"
34. Methyl Bromide,74839,,,,,a 48,"a 4,000"
35. Methyl Chloride,74873,,,,,(n),(n)
36. Methylene Chloride,75092,,,,,a c 4.7,"a c 1,600"
"37. 1,1,2,2-Tetrachloroethane",79345,,,,,a c s 0.17,a c t 11
38. Tetrachloroethylene,127184,,,,,c s 0.8,c t 8.85
39. Toluene,108883,,,,,"a 6,800","a 200,000"
"40. 1,2-Trans-Dichloroethylene",156605,,,,,a 700,"a 140,000"
"41. 1,1,1-Trichloroethane",71556,,,,,(n),(n)
"42. 1,1,2-Trichloroethane",79005,,,,,a c s 0.60,a c t 42
43. Trichloroethylene,79016,,,,,c s 2.7,c t 81
44. Vinyl Chloride,75014,,,,,c s 2,c t 525
45. 2-Chlorophenol,95578,,,,,a 120,a 400
"46. 2,4-Dichlorophenol",120832,,,,,a s 93,a t 790
"47. 2,4-Dimethylphenol",105679,,,,,a 540,"a 2,300"
