PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
7000,"Tritium, total",,Other,Radiation,,
11503,"Radium 226 + radium 228, total",,Other,Radiation,,
22417,Methyl tert-butyl ether [MTBE],,Toxic Organics,Toxic Organics,,Methyl Tert-butyl Ether (MTBE)
22456,Polynuclear Aromatic Hydrocarbons [PAHs],,Toxic Organics,Toxic Organics,,Polynuclear Aromatic Hydrocarbons (PAHs)
28012,"Uranium, total [in pci/L]",,Metals,Uranium,,
51197,Total Organic Carbon % Removal,,Organics,Other Organics,,
51173,"Cyanide, free available",,Inorganics,Toxic Inorganics,,"Cyanide, Free Available"
30500,"Coliform, fecal - % samples exceeding limit",,Toxic Organics,Toxic Organics,,
32101,Dichlorobromomethane,,Toxic Organics,Toxic Organics,Dichlorobromomethane,Dichlorobromomethane
32102,Carbon tetrachloride,,Toxic Organics,Toxic Organics,Carbon Tetrachloride,Carbon Tetrachloride
32103,"1,2-Dichloroethane",,Toxic Organics,Toxic Organics,"1,2-Dichloroethane","1,2-Dichloroethane"
32104,Bromoform,,Toxic Organics,Toxic Organics,Bromoform,Bromoform
32105,Dibromochloromethane,,Toxic Organics,Toxic Organics,,Dibromochloromethane
32106,Chloroform,,Toxic Organics,Toxic Organics,Chloroform,Chloroform
34010,Toluene,,Toxic Organics,Toxic Organics,Toluene,Toluene
34030,Benzene,,Toxic Organics,Toxic Organics,Benzene,Benzene
3520,"Radiation, gross beta",,Other,Other,,"Radiation, Gross Beta"
3582,Oil and grease,,Other,Fuel,,Oil and Grease
3615,"2-Methyl-4,6-dinitrophenol",,Toxic Organics,Toxic Organics,"2-Methyl-4,6-Dinitrophenol",
3824,Tributyltin,,Metals,Tin,,
39516,Polychlorinated biphenyls [PCBs],,Inorganics,Disinfectants,,
39570,Diazinon,,Toxic Organics,Toxic Organics,,Diazinon
46225,Chloride,,Solids,Dissolved Solids,,Chloride
39100,Di[2-ethylhexyl] phthalate [DEHP],,Toxic Organics,Toxic Organics,,
39110,Di-n-butyl phthalate,,Toxic Organics,Toxic Organics,Di-n-Butyl Phthalate,Di-n-butyl Phthalate
39117,Phthalate esters,,Toxic Organics,Toxic Organics,,Phthalate Esters
39300,"4,4'-DDT",,Toxic Organics,Toxic Organics,,"4,4-DDT"
39310,"4,4'-DDD",,Toxic Organics,Toxic Organics,,"4,4-DDD"
39320,"4,4'-DDE",,Toxic Organics,Toxic Organics,,"4,4-DDE"
39350,Chlordane [tech mix. and metabolites],,Toxic Organics,Toxic Organics,,
39379,"DDT/DDD/DDE, sum of p,p' & o,p' isomers",,Toxic Organics,Toxic Organics,,"DDT/DDD/DDE, Sum of P,P & O,P Isomers"
39380,Dieldrin,,Toxic Organics,Toxic Organics,Dieldrin,Dieldrin
39400,Toxaphene,,Toxic Organics,Toxic Organics,Toxaphene,Toxaphene
39410,Heptachlor,,Toxic Organics,Toxic Organics,Heptachlor,Heptachlor
34408,Isophorone,,Toxic Organics,Toxic Organics,Isophorone,Isophorone
34423,Methylene chloride,,Toxic Organics,Toxic Organics,Methylene Chloride,Methylene Chloride
34428,N-Nitrosodi-N-propylamine,,Toxic Organics,Toxic Organics,N-Nitrosodi-n-Propylamine,N-Nitrosodi-n-Propylamine
34433,N-Nitrosodiphenylamine,,Toxic Organics,Toxic Organics,N-Nitrosodiphenylamine,N-Nitrosodiphenylamine
34438,N-Nitrosodimethylamine [NDMA],,Toxic Organics,Toxic Organics,,
TTJ3L,TU Static 72Hr Chronic Strongyl. purpuratus,,Aquatic Toxicity,Aquatic Toxicity,,
TTK1D,TU Static 48Hr Chronic Macrocystis pyrifera,,Aquatic Toxicity,Aquatic Toxicity,,
TTK3R,TU Static 48Hr Chronic Haliotis rufescens,,Aquatic Toxicity,Aquatic Toxicity,,
TTP3B,TU Static Renewal 7-Day Chronic Ceriodaphnia dubia,,Toxic Organics,Toxic Organics,,
TTP6C,TU Static Renewal 7-Day Chronic Pimphales promelas,,Toxic Organics,Toxic Organics,,
TTP6J,TU Static Renewal 7-Day Chronic Menidia beryllina,,Toxic Organics,Toxic Organics,,
TTP6L,Toxic Units Static Renewal 7-Day Chronic Atherinops affinis ,,Toxic Organics,Toxic Organics,,
TTS3L,TU Static 20Min Chronic Strongyl. purpuratus,,Aquatic Toxicity,Aquatic Toxicity,,
70295,"Solids, total dissolved",,Solids,Suspended Solids,,
51040,E. coli,,Pathogens,Pathogens,,E.coli
51061,Flow [dry weather],,Flow,Flow,,
34675,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",,Toxic Organics,Toxic Organics,,
38260,Surfactants [MBAS],,Toxic Organics,Toxic Organics,,
34210,Acrolein,,Toxic Organics,Toxic Organics,Acrolein,Acrolein
34215,Acrylonitrile,,Toxic Organics,Toxic Organics,Acrylonitrile,Acrylonitrile
34247,Benzo[a]pyrene,,Toxic Organics,Toxic Organics,Benzo(a)Pyrene,Benzo(a)pyrene
34273,Bis[2-chloroethyl] ether,,Toxic Organics,Toxic Organics,Bis(2-Chloroethyl)Ether,Bis (2-Chloroethyl) Ether
34278,Bis[2-chloroethoxy]methane,,Toxic Organics,Toxic Organics,Bis(2-Chloroethoxy)Methane,Bis (2-Chloroethoxy) Methane
34283,Bis[2-chloroisopropyl] ether,,Toxic Organics,Toxic Organics,Bis(2-Chloroisopropyl)Ether,Bis (2-Chloroisopropyl) Ether
34301,Chlorobenzene,,Toxic Organics,Toxic Organics,Chlorobenzene,Chlorobenzene
34306,Chlorodibromomethane,,Toxic Organics,Toxic Organics,Chlorodibromomethane,
34336,Diethyl phthalate,,Toxic Organics,Toxic Organics,Diethyl Phthalate,Diethyl Phthalate
34341,Dimethyl phthalate,,Toxic Organics,Toxic Organics,Dimethyl Phthalate,Dimethyl Phthalate
34346,"1,2-Diphenylhydrazine",,Toxic Organics,Toxic Organics,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine"
34371,Ethylbenzene,,Toxic Organics,Toxic Organics,Ethylbenzene,Ethylbenzene
34376,Fluoranthene,,Toxic Organics,Toxic Organics,Fluoranthene,Fluoranthene
34386,Hexachlorocyclopentadiene,,Toxic Organics,Toxic Organics,Hexachlorocyclopentadiene,Hexachlorocyclopentadiene
34391,Hexachlorobutadiene,,Toxic Organics,Toxic Organics,Hexachlorobutadiene,Hexachlorobutadiene
34396,Hexachloroethane,,Toxic Organics,Toxic Organics,Hexachloroethane,Hexachloroethane
34403,"Indeno[1,2,3-cd]pyrene",,Toxic Organics,Toxic Organics,"Indeno(1,2,3-cd) Pyrene","Indeno (1,2,3-cd) Pyrene"
50050,"Flow, in conduit or thru treatment plant",,Flow,Flow,,
50060,"Chlorine, total residual",,Inorganics,Disinfectants,,"Chlorine, Total Residual"
50064,"Chlorine, free available",,Inorganics,Disinfectants,,"Chlorine, Free Available"
34447,Nitrobenzene,,Toxic Organics,Toxic Organics,Nitrobenzene,Nitrobenzene
34475,Tetrachloroethylene,,Toxic Organics,Toxic Organics,Tetrachloroethylene,
34501,"1,1-Dichloroethylene",,Toxic Organics,Toxic Organics,"1,1-Dichloroethylene","1,1-Dichloroethylene"
34506,"1,1,1-Trichloroethane",,Toxic Organics,Toxic Organics,"1,1,1-Trichloroethane","1,1,1-Trichloroethane"
34511,"1,1,2-Trichloroethane",,Toxic Organics,Toxic Organics,"1,1,2-Trichloroethane","1,1,2-Trichloroethane"
34516,"1,1,2,2-Tetrachloroethane",,Toxic Organics,Toxic Organics,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane"
34571,"1,4-Dichlorobenzene",,Toxic Organics,Toxic Organics,,"1,4-Dichlorobenzene"
34611,"2,4-Dinitrotoluene",,Toxic Organics,Toxic Organics,"2,4-Dinitrotoluene","2,4-Dinitrotoluene"
34616,"2,4-Dinitrophenol",,Toxic Organics,Toxic Organics,"2,4-Dinitrophenol","2,4-Dinitrophenol"
34621,"2,4,6-Trichlorophenol",,Toxic Organics,Toxic Organics,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol"
34631,"3,3'-Dichlorobenzidine",,Toxic Organics,Toxic Organics,,"3,3-Dichlorobenzidine"
61211,Enterococci,,Pathogens,Pathogens,,Enterococci
61736,"Turbidity, time above limit",,Color and Turbidity,Turbidity,,
TGB3B,Pass/Fail Static 96Hr Acute Ceriodaphnia Dubia,,Aquatic Toxicity,Aquatic Toxicity,,
TGP3B,Pass/Fail Static Renewal 7 Day Chronic Ceriodaphnia dubia,,Toxic Organics,Toxic Organics,,
TGP6C,Pass/Fail Static Renewal 7Day Chronic Pimephales promelas,,Toxic Organics,Toxic Organics,,
TRB3B,%Surv Static Renewal 96Hr Acute Ceriodaphnia dubia,,Toxic Organics,Toxic Organics,,
TRB6C,%Surv Static 96Hr Acute Pimphales Promelas,,Aquatic Toxicity,Aquatic Toxicity,,
TRB6I,%Surv Static 96Hr Acute Oncorhynchus Mykiss,,Aquatic Toxicity,Aquatic Toxicity,,
TRM3B,%Srv Static Renewal 48Hr Acute Ceriodaphnia dubia,,Toxic Organics,Toxic Organics,,
TRN3B,96Hr Acute Ceriodaphn. Dubia % Srv,,Aquatic Toxicity,Aquatic Toxicity,,
TRN6C,% Survival Static Renewal 96Hr Acute Pimephales promelas,,Toxic Organics,Toxic Organics,,
TRN6I,%Surv Static Renewal 96Hr Oncorhynchus mykiss,,Toxic Organics,Toxic Organics,,
TRX6C,% Survival Flow Through 96Hr Acute Pimephales promelas,,Aquatic Toxicity,Aquatic Toxicity,,
TRX6I,% Survival Flow Through 96Hr Acute Oncorhynchus mykiss,,Aquatic Toxicity,Aquatic Toxicity,,
TSB6J,TU Static 96Hr Acute Medinia beryllina,,Aquatic Toxicity,Aquatic Toxicity,,
78218,"Phenolic compounds, unchlorinated",,Inorganics,Disinfectants,,
82077,"Radiation, gross alpha",,Other,Other,,"Radiation, Gross Alpha"
82080,"Trihalomethane, tot.",,Toxic Organics,Toxic Organics,,
82126,"Tritium, total",,Other,Radiation,,
