PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
4241,"Produced water, gross alpha radiation",10804,Other,Other,,No Match (unconfirmed)
4242,"Produced water, gross beta radiation",10969,Other,Other,,No Match (unconfirmed)
4243,"Produced water, toxicity",12133,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
4244,"Produced water, Radium 226, total",10430,Other,Radiation,,No Match (unconfirmed)
4245,"Produced water, Radium 228, total",10431,Other,Radiation,,No Match (unconfirmed)
4249,Produced water toxicity 7 day noec,12129,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
4250,Bioaccumulation testing performed,10973,Metals,Tin,,No Match (unconfirmed)
4252,"Butyl, 5-benzotriazole, total",10700,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
4262,"Chromium, trivalent total recoverable",10215,Metals,Chromium,,No Match (unconfirmed)
4270,"Chronic toxicity, daphnia magnia 21 dy",4245,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
4278,"Seafood production, effluent # day/mo",12203,Other,Other,,No Match (unconfirmed)
4279,"RCRA/CERCLA substances, 40 CFR 261 subp c",12171,Uncategorized,Uncategorized,,No Match (unconfirmed)
4280,"Bisazer, total, water, ug/L",10981,Uncategorized,Uncategorized,,No Match (unconfirmed)
4310,Dicrotophos,12057,Uncategorized,Uncategorized,,No Match (unconfirmed)
4311,"Drilling fluid, end of well, 96-hr LC50",11221,Other,Other,,No Match (unconfirmed)
4312,"Drilling fluid, toxicity",11226,Other,Other,,No Match (unconfirmed)
4370,"Sum BOD and ammonia, water",12293,Organics,COD,,No Match (unconfirmed)
4379,"Well fluids, oil & grease",10364,Other,Fuel,,No Match (unconfirmed)
4382,"1,2-Dichloro-1,2-difluoroethane",11259,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
4383,Thermal efficiency,12398,Temperature,Temperature,,No Match (unconfirmed)
4443,Diquat,11198,Uncategorized,Uncategorized,,No Match (unconfirmed)
4584,"Organics, gasoline range",11345,Other,Fuel,,No Match (unconfirmed)
5501,"Gamma, total",11341,Other,Radiation,,No Match (unconfirmed)
5502,"Gamma, total counting error",11341,Other,Radiation,,No Match (unconfirmed)
7000,"Tritium, total",12446,Other,Radiation,,Tritium
7001,"Tritium, total counting error [pc/L]",12447,Other,Radiation,,No Match (unconfirmed)
7020,"Tritium, total net increase H-3 units",12448,Other,Radiation,,No Match (unconfirmed)
9501,"Radium 226, total",10430,Other,Radiation,,No Match (unconfirmed)
9503,"Radium 226, dissolved",10430,Other,Radiation,,No Match (unconfirmed)
11123,"Manganese, total recoverable",2423,Metals,Manganese,,"Manganese, Total Recoverable"
11500,"Radium 226 & 228, dissolved",12175,Other,Radiation,,No Match (unconfirmed)
11501,"Radium 228, total",10431,Other,Radiation,,No Match (unconfirmed)
11503,"Radium 226 + radium 228, total",12175,Other,Radiation,,Radium-226 + Radium-228
13501,"Strontium 90, total",12285,Other,Radiation,,Strontium-90
17501,"Lead 210, total",11641,Metals,Lead,,No Match (unconfirmed)
18501,Iodine 129,11426,Uncategorized,Uncategorized,,No Match (unconfirmed)
19500,Total polonium,12103,Uncategorized,Uncategorized,,No Match (unconfirmed)
19501,Polonium 210,12104,Uncategorized,Uncategorized,,No Match (unconfirmed)
20501,"Radium 223, total",12173,Other,Radiation,,No Match (unconfirmed)
22100,"Technetium 99, total [14]",12368,Uncategorized,Uncategorized,,No Match (unconfirmed)
22405,"Aluminum chloride, dissolved, water",10093,Metals,Aluminum,,No Match (unconfirmed)
22409,Octachlorostyrene,10934,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
22410,"Tris[2,3-dibromo- propyl] phosphate",10691,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
22414,Whole effluent toxicity,4677,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
22415,Whole effluent toxicity - retest #1,4677,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
22416,Whole effluent toxicity - retest #2,4677,Aquatic Toxicity,Aquatic Toxicity,,No Match (unconfirmed)
22417,Methyl tert-butyl ether [MTBE],10418,Toxic Organics,Toxic Organics,,Methyl Tert-butyl Ether (MTBE)
22418,"WET, sublethal retest #1",12509,Uncategorized,Uncategorized,,No Match (unconfirmed)
22419,"WET, sublethal retest #2",12509,Uncategorized,Uncategorized,,No Match (unconfirmed)
22454,Methoxypropylamine,10027,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100,Toxic Organics,Toxic Organics,,Polynuclear Aromatic Hydrocarbons (PAHs)
22501,Thorium [Thorium-232],4082,Metals,Thorium,,No Match (unconfirmed)
22601,"Uranium 238, total",6439,Metals,Uranium,,No Match (unconfirmed)
22622,"Uranium 235, total",12460,Metals,Uranium,,No Match (unconfirmed)
22680,"Arsenic, trivalent dissolved",10833,Metals,Arsenic,,No Match (unconfirmed)
22703,"Uranium, dissolved",6439,Metals,Uranium,,No Match (unconfirmed)
22706,"Uranium, total as U3O8",320002281,Metals,Uranium,,No Match (unconfirmed)
22708,"Uranium, total",6439,Metals,Uranium,,No Match (unconfirmed)
24501,"Radium 224, total",12174,Other,Radiation,,No Match (unconfirmed)
25501,Actinium 227,10793,Metals,Tin,,No Match (unconfirmed)
26501,Thorium 230,12407,Metals,Thorium,,No Match (unconfirmed)
26631,Thorium 232 pci/g of dry solids,4082,Metals,Thorium,,No Match (unconfirmed)
28012,"Uranium, total [in pci/L]",6439,Metals,Uranium,,Uranium
28801,"Cerium, total",11067,Uncategorized,Uncategorized,,No Match (unconfirmed)
29404,"Chromium, trivalent in bottom deposits",10215,Metals,Chromium,,No Match (unconfirmed)
29405,"Chromium, hexavalent in bot dep [dry wt]",10214,Metals,Chromium,,No Match (unconfirmed)
29620,"Phosphorous 32, total",12092,Uncategorized,Uncategorized,,No Match (unconfirmed)
30004,Fensulfothion,12081,Uncategorized,Uncategorized,,No Match (unconfirmed)
30006,Fenthion,12086,Uncategorized,Uncategorized,,No Match (unconfirmed)
30009,Merphos,12091,Uncategorized,Uncategorized,,No Match (unconfirmed)
30056,Benzyl chloride,10124,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30190,Dichloroprop,10421,Uncategorized,Uncategorized,,No Match (unconfirmed)
30191,Dinoseb,12016,Uncategorized,Uncategorized,,No Match (unconfirmed)
30192,MCPA,10784,Uncategorized,Uncategorized,,No Match (unconfirmed)
30193,MCPP,12159,Uncategorized,Uncategorized,,No Match (unconfirmed)
30218,Dichlorvos,12053,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30234,Terbacil,10038,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30264,Hexazinone,10646,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30311,Bromacil,10037,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
30344,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin",11168,Toxic Organics,Toxic Organics,,"1,2,3,7,8-Pentachlorodibenzo-p-dioxin"
30345,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin",11166,Toxic Organics,Toxic Organics,,"1,2,3,4,7,8-Hexachlorodibenzo-p-dioxin"
30346,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin",11167,Toxic Organics,Toxic Organics,,"1,2,3,6,7,8-Hexachlorodibenzo-p-dioxin"
34636,4-Bromophenyl phenyl ether,10911,Toxic Organics,Toxic Organics,4-Bromophenyl Phenyl Ether,4-Bromophenyl Phenyl Ether
51188,Dewatering effluent chlorides tidal,11159,Other,Other,,No Match (unconfirmed)
51189,Dewatering effluent COD,11156,Organics,COD,,No Match (unconfirmed)
51190,Dewatering effluent free oil,11160,Other,Fuel,,No Match (unconfirmed)
51191,Dewatering effluent oil & grease,10364,Other,Fuel,,No Match (unconfirmed)
51192,Dewatering effluent pH,11162,pH,pH,,No Match (unconfirmed)
51193,Dewatering effluent TDS,11157,Solids,Dissolved Solids,,No Match (unconfirmed)
51194,Dewatering effluent TSS,11158,Solids,Suspended Solids,,No Match (unconfirmed)
51195,"Flow, as a portion of stream flow",11309,Flow,Flow,,No Match (unconfirmed)
51196,Acetonitrile,278,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51197,Total Organic Carbon % Removal,11907,Organics,Other Organics,,"Total Organic Carbon (TOC), Percent Removal"
51198,"Oil & grease, non-polar material",11900,Other,Fuel,,No Match (unconfirmed)
51199,"Flow, return factor",11323,Flow,Flow,,No Match (unconfirmed)
51200,Endothall,10762,Nutrients,Dissolved Oxygen,,No Match (unconfirmed)
51201,Color,11106,Color and Turbidity,Color,,No Match (unconfirmed)
51202,Sulfide-hydrogen sulfide [undissociated],12286,Inorganics,Toxic Inorganics,,No Match (unconfirmed)
51310,2-Chlorobenzene,10151,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51315,Di[2-ethylhexyl] phthalate [DEHP],10005,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51320,Octylphenol,12040,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51340,p-Phenolsulfonic acid,10953,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51360,m-Benzenedisulfonic acid,10658,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51370,Area of disposal-used,10828,Uncategorized,Uncategorized,,No Match (unconfirmed)
51380,Bicarbonate as [CaCO3],10800,Organics,COD,,No Match (unconfirmed)
51381,Thionazin,12082,Uncategorized,Uncategorized,,No Match (unconfirmed)
51382,Leptophos,12047,Uncategorized,Uncategorized,,No Match (unconfirmed)
51383,Fenitrothion,12085,Uncategorized,Uncategorized,,No Match (unconfirmed)
51384,Aspon,12405,Uncategorized,Uncategorized,,No Match (unconfirmed)
51385,Monocrotophos,12059,Uncategorized,Uncategorized,,No Match (unconfirmed)
51386,Dichlofenthion,12087,Uncategorized,Uncategorized,,No Match (unconfirmed)
51400,DMR submitted,11199,Uncategorized,Uncategorized,,No Match (unconfirmed)
51401,"Zinc, percent removal",6352,Metals,Zinc,,No Match (unconfirmed)
51402,"Copper, percent removal",1165,Metals,Copper,,No Match (unconfirmed)
51403,"Cadmium, percent removal",776,Metals,Cadmium,,No Match (unconfirmed)
51404,"Solids, total suspd. non-volatile",12249,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
51405,Excess thermal load,11291,Temperature,Temperature,,No Match (unconfirmed)
51406,Carbonate ion [as CaCO3],11058,Organics,COD,,No Match (unconfirmed)
51407,Rainfall events,12177,Other,Other,,No Match (unconfirmed)
51500,"Flow, total",11324,Flow,Flow,,No Match (unconfirmed)
52000,Azide,10835,Uncategorized,Uncategorized,,No Match (unconfirmed)
52010,Ethoxyquin,12170,Uncategorized,Uncategorized,,No Match (unconfirmed)
52020,Freeboard,11335,Uncategorized,Uncategorized,,No Match (unconfirmed)
52030,Furans,10293,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52040,"Halogens, total combined",11378,Uncategorized,Uncategorized,,No Match (unconfirmed)
52050,Infiltration capacity,11421,Uncategorized,Uncategorized,,No Match (unconfirmed)
52060,Mix ratio,11683,Uncategorized,Uncategorized,,No Match (unconfirmed)
52070,Moisture content,11685,Uncategorized,Uncategorized,,No Match (unconfirmed)
52080,Number of operating tubes,11903,Metals,Tin,,No Match (unconfirmed)
52090,Octachlorodibenzo-p-dioxin,11163,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52100,Octachlorodibenzofuran,11185,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52110,Oil & grease [polar],11899,Other,Fuel,,No Match (unconfirmed)
52120,"Organics, total halogens [TOX]",11908,Organics,Other Organics,,No Match (unconfirmed)
52130,"Pentachlorophenol, removal efficiency",10396,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52140,"Pressure, casing",12120,Uncategorized,Uncategorized,,No Match (unconfirmed)
52150,Rovral,10680,Uncategorized,Uncategorized,,No Match (unconfirmed)
52170,"Solids, total suspended, loading rate",12254,Solids,Suspended Solids,,No Match (unconfirmed)
52190,"Solids, total dissolved [inorganic]",12245,Solids,Suspended Solids,,No Match (unconfirmed)
52200,SOPP,12517,Solids,Dissolved Solids,,No Match (unconfirmed)
52210,"SOPP, loading rate",12517,Solids,Dissolved Solids,,No Match (unconfirmed)
52220,Tebuconazole,10696,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52230,Technetium-99,12368,Uncategorized,Uncategorized,,No Match (unconfirmed)
52240,"Temperature, background",6128,Temperature,Temperature,,No Match (unconfirmed)
52250,Tetramethyl ammonium hydroxide,11658,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52260,Thiabendazole,10698,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52270,Thiobendazole,10698,Toxic Organics,Toxic Organics,,No Match (unconfirmed)
52280,Topsin,11044,Uncategorized,Uncategorized,,No Match (unconfirmed)
52290,Total Petroleum Hydrocarbons - Diesel,12428,Other,Other,,No Match (unconfirmed)
52300,Total Petroleum Hydrocarbons - Gasoline,10485,Other,Fuel,,No Match (unconfirmed)
52310,Total water accumulations,12431,Uncategorized,Uncategorized,,No Match (unconfirmed)
