PARAMETER_CODE,DMR_PARAMETER_DESC,POLLUTANT_CODE,PARENT_CATEGORY,SUB_CATEGORY,TOXICS_PARAMETER_DESC_MATCHED,ESMR_PARAMETER_DESC
7000,"Tritium, total",12446.0,Other,Radiation,,
11123,"Manganese, total recoverable",2423.0,Metals,Manganese,,"Manganese, Total Recoverable"
11503,"Radium 226 + radium 228, total",12175.0,Other,Radiation,,
22417,Methyl tert-butyl ether [MTBE],10418.0,Toxic Organics,Toxic Organics,,Methyl Tert-butyl Ether (MTBE)
22456,Polynuclear Aromatic Hydrocarbons [PAHs],10100.0,Toxic Organics,Toxic Organics,,Polynuclear Aromatic Hydrocarbons (PAHs)
28012,"Uranium, total [in pci/L]",6439.0,Metals,Uranium,,
51197,Total Organic Carbon % Removal,11907.0,Organics,Other Organics,,
51173,"Cyanide, free available",5123.0,Inorganics,Toxic Inorganics,,"Cyanide, Free Available"
30500,"Coliform, fecal - % samples exceeding limit",10287.0,Toxic Organics,Toxic Organics,,
32101,Dichlorobromomethane,11660.0,Toxic Organics,Toxic Organics,Dichlorobromomethane,Dichlorobromomethane
32102,Carbon tetrachloride,10344.0,Toxic Organics,Toxic Organics,Carbon Tetrachloride,Carbon Tetrachloride
32103,"1,2-Dichloroethane",10262.0,Toxic Organics,Toxic Organics,"1,2-Dichloroethane","1,2-Dichloroethane"
32104,Bromoform,11673.0,Toxic Organics,Toxic Organics,Bromoform,Bromoform
32105,Dibromochloromethane,11664.0,Toxic Organics,Toxic Organics,,Dibromochloromethane
32106,Chloroform,10345.0,Toxic Organics,Toxic Organics,Chloroform,Chloroform
34010,Toluene,10161.0,Toxic Organics,Toxic Organics,Toluene,Toluene
34030,Benzene,603.0,Toxic Organics,Toxic Organics,Benzene,Benzene
3520,"Radiation, gross beta",10969.0,Other,Other,,"Radiation, Gross Beta"
3582,Oil and grease,10364.0,Other,Fuel,,Oil and Grease
3615,"2-Methyl-4,6-dinitrophenol",10384.0,Toxic Organics,Toxic Organics,"2-Methyl-4,6-Dinitrophenol",
3824,Tributyltin,12269.0,Metals,Tin,,
39516,Polychlorinated biphenyls [PCBs],10001.0,Inorganics,Disinfectants,,
39700,Hexachlorobenzene,10159.0,Toxic Organics,Toxic Organics,Hexachlorobenzene,Hexachlorobenzene
46225,Chloride,5033.0,Solids,Dissolved Solids,,Chloride
39100,Di[2-ethylhexyl] phthalate [DEHP],10005.0,Toxic Organics,Toxic Organics,,
39110,Di-n-butyl phthalate,10007.0,Toxic Organics,Toxic Organics,Di-n-Butyl Phthalate,Di-n-butyl Phthalate
39117,Phthalate esters,10630.0,Toxic Organics,Toxic Organics,,Phthalate Esters
39120,Benzidine,10508.0,Toxic Organics,Toxic Organics,Benzidine,Benzidine
39175,Vinyl chloride,10282.0,Toxic Organics,Toxic Organics,Vinyl Chloride,Vinyl Chloride
39180,Trichloroethylene,10285.0,Toxic Organics,Toxic Organics,Trichloroethylene,
39330,Aldrin,10024.0,Toxic Organics,Toxic Organics,Aldrin,Aldrin
39350,Chlordane [tech mix. and metabolites],11080.0,Toxic Organics,Toxic Organics,,
39379,"DDT/DDD/DDE, sum of p,p' & o,p' isomers",11135.0,Toxic Organics,Toxic Organics,,"DDT/DDD/DDE, Sum of P,P & O,P Isomers"
39380,Dieldrin,10039.0,Toxic Organics,Toxic Organics,Dieldrin,Dieldrin
39388,"Endosulfan, total",10757.0,Toxic Organics,Toxic Organics,,
39390,Endrin,10040.0,Toxic Organics,Toxic Organics,Endrin,Endrin
39400,Toxaphene,4234.0,Toxic Organics,Toxic Organics,Toxaphene,Toxaphene
39410,Heptachlor,10748.0,Toxic Organics,Toxic Organics,Heptachlor,Heptachlor
39420,Heptachlor epoxide,10716.0,Toxic Organics,Toxic Organics,Heptachlor Epoxide,Heptachlor Epoxide
34408,Isophorone,10042.0,Toxic Organics,Toxic Organics,Isophorone,Isophorone
34423,Methylene chloride,10340.0,Toxic Organics,Toxic Organics,Methylene Chloride,Methylene Chloride
34428,N-Nitrosodi-N-propylamine,10689.0,Toxic Organics,Toxic Organics,N-Nitrosodi-n-Propylamine,N-Nitrosodi-n-Propylamine
34433,N-Nitrosodiphenylamine,10121.0,Toxic Organics,Toxic Organics,N-Nitrosodiphenylamine,N-Nitrosodiphenylamine
34438,N-Nitrosodimethylamine [NDMA],10335.0,Toxic Organics,Toxic Organics,,
TTJ3L,TU Static 72Hr Chronic Strongyl. purpuratus,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TTK1D,TU Static 48Hr Chronic Macrocystis pyrifera,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TTK3R,TU Static 48Hr Chronic Haliotis rufescens,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
TTP3B,TU Static Renewal 7-Day Chronic Ceriodaphnia dubia,4677.0,Toxic Organics,Toxic Organics,,
TTP6C,TU Static Renewal 7-Day Chronic Pimphales promelas,4677.0,Toxic Organics,Toxic Organics,,
TTP6J,TU Static Renewal 7-Day Chronic Menidia beryllina,4677.0,Toxic Organics,Toxic Organics,,
TTP6L,Toxic Units Static Renewal 7-Day Chronic Atherinops affinis ,4677.0,Toxic Organics,Toxic Organics,,
TTS3L,TU Static 20Min Chronic Strongyl. purpuratus,4677.0,Aquatic Toxicity,Aquatic Toxicity,,
70295,"Solids, total dissolved",4151.0,Solids,Suspended Solids,,
51040,E. coli,10251.0,Pathogens,Pathogens,,E.coli
34675,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",10239.0,Toxic Organics,Toxic Organics,,
38260,Surfactants [MBAS],10475.0,Toxic Organics,Toxic Organics,,
34210,Acrolein,10054.0,Toxic Organics,Toxic Organics,Acrolein,Acrolein
34215,Acrylonitrile,10057.0,Toxic Organics,Toxic Organics,Acrylonitrile,Acrylonitrile
34247,Benzo[a]pyrene,10174.0,Toxic Organics,Toxic Organics,Benzo(a)Pyrene,Benzo(a)pyrene
34273,Bis[2-chloroethyl] ether,10254.0,Toxic Organics,Toxic Organics,Bis(2-Chloroethyl)Ether,Bis (2-Chloroethyl) Ether
34278,Bis[2-chloroethoxy]methane,11248.0,Toxic Organics,Toxic Organics,Bis(2-Chloroethoxy)Methane,Bis (2-Chloroethoxy) Methane
34283,Bis[2-chloroisopropyl] ether,12149.0,Toxic Organics,Toxic Organics,Bis(2-Chloroisopropyl)Ether,Bis (2-Chloroisopropyl) Ether
34301,Chlorobenzene,10151.0,Toxic Organics,Toxic Organics,Chlorobenzene,Chlorobenzene
