IR_PARAMETER_DESC,PARENT_CATEGORY,SUB_CATEGORY
Indicator Bacteria,Pathogens,Pathogens
Aluminum,Metals,Aluminum
"Oxygen, Dissolved",Uncategorized,Uncategorized
Mercury,Metals,Mercury
Sedimentation/Siltation,Solids,Suspended Solids
Dioxin Toxic Equivalents,Toxic Organics,Toxic Organics
PCBs (Polychlorinated biphenyls),Inorganics,Disinfectants
Sediment,Solids,Suspended Solids
pH,pH,pH
"Temperature, water",Temperature,Temperature
Turbidity,Color and Turbidity,Turbidity
Specific Conductivity,Solids,Dissolved Solids
Diazinon,Toxic Organics,Toxic Organics
Phosphorus,Nutrients,Phosphorus
Manganese,Metals,Manganese
Cyanobacteria hepatotoxic microcystins,Metals,Tin
Nutrients,Nutrients,Algae and other Nutrient-related
Organic Enrichment/Low Dissolved Oxygen,Nutrients,Dissolved Oxygen
Invasive Species,Other,Other
Total Dissolved Solids,Solids,Dissolved Solids
Arsenic,Metals,Arsenic
Biostimulatory Conditions,Other,Other
Nickel,Metals,Nickel
Copper,Metals,Copper
Boron,Inorganics,Toxic Inorganics
pH (high),pH,pH
Eutrophication,pH,pH
Chlordane,Toxic Organics,Toxic Organics
DDT (Dichlorodiphenyltrichloroethane),Toxic Organics,Toxic Organics
Dieldrin,Toxic Organics,Toxic Organics
"Dioxin compounds (including 2,3,7,8-TCDD)",Toxic Organics,Toxic Organics
Furan Compounds,Toxic Organics,Toxic Organics
PAHs (Polycyclic Aromatic Hydrocarbons),Toxic Organics,Toxic Organics
Selenium,Metals,Selenium
Toxicity,Aquatic Toxicity,Aquatic Toxicity
Ammonia,Nutrients,Nitrogen
Hydrogen Sulfide,Inorganics,Toxic Inorganics
Trash,Other,Other
Lead,Metals,Lead
Silver,Metals,Silver
Zinc,Metals,Zinc
"Total DDT (sum of 4,4'- and 2,4'- isomers of DDT, DDE, and DDD)",Toxic Organics,Toxic Organics
Heptachlor epoxide,Toxic Organics,Toxic Organics
Toxaphene,Toxic Organics,Toxic Organics
Salinity/TDS/Chlorides,Solids,Dissolved Solids
PCBs (Polychlorinated biphenyls) (sediment),Inorganics,Disinfectants
Chloride,Solids,Dissolved Solids
PCBs (Polychlorinated biphenyls) (dioxin-like),Inorganics,Disinfectants
Fipronil,Toxic Organics,Toxic Organics
Bifenthrin,Toxic Organics,Toxic Organics
Cypermethrin,Toxic Organics,Toxic Organics
Pyrethroids,Toxic Organics,Toxic Organics
Deltamethrin,Toxic Organics,Toxic Organics
Cyfluthrin,Toxic Organics,Toxic Organics
Imidacloprid,Toxic Organics,Toxic Organics
Mercury (sediment),Metals,Mercury
Dacthal,Toxic Organics,Toxic Organics
Escherichia coli (E. coli),Pathogens,Pathogens
Benthic Community Effects,Other,Other
Nitrate,Nutrients,Nitrogen
Fecal Coliform,Toxic Organics,Toxic Organics
Sodium,Solids,Dissolved Solids
Chlorophyll-a,Nutrients,Algae and other Nutrient-related
DDD (Dichlorodiphenyldichloroethane),Toxic Organics,Toxic Organics
DDE (Dichlorodiphenyldichloroethylene),Toxic Organics,Toxic Organics
Dimethoate,Toxic Organics,Toxic Organics
Malathion,Toxic Organics,Toxic Organics
Total Coliform,Toxic Organics,Toxic Organics
Carbaryl,Toxic Organics,Toxic Organics
Enterococcus,Pathogens,Pathogens
Chromium,Metals,Chromium
Chlorpyrifos,Toxic Organics,Toxic Organics
"Cyhalothrin, Lambda",Toxic Organics,Toxic Organics
Endrin,Toxic Organics,Toxic Organics
Microcystins,Metals,Tin
Scum/Foam-unnatural,Other,Other
Bensulide,Toxic Organics,Toxic Organics
Methomyl,Toxic Organics,Toxic Organics
Oxyfluorfen,Toxic Organics,Toxic Organics
Cadmium,Metals,Cadmium
Molybdenum,Metals,Molybdenum
Linuron,Toxic Organics,Toxic Organics
Organophosphate Pesticides,Toxic Organics,Toxic Organics
Priority Organics,Organics,Other Organics
Pesticides,Toxic Organics,Toxic Organics
Metals,Metals,Other Metals
Anatoxin-A,Toxic Organics,Toxic Organics
Clothianidin,Toxic Organics,Toxic Organics
Prometryn,Toxic Organics,Toxic Organics
Permethrin,Toxic Organics,Toxic Organics
Disulfoton,Toxic Organics,Toxic Organics
Thiamethoxam,Toxic Organics,Toxic Organics
Fenpropathrin,Toxic Organics,Toxic Organics
Cyanide,Inorganics,Toxic Inorganics
Iron,Metals,Iron
Sulfates,Solids,Dissolved Solids
PCBs (Polychlorinated biphenyls) (tissue),Other,Other
Dieldrin (sediment),Toxic Organics,Toxic Organics
Toxaphene (tissue),Other,Other
Coliform Bacteria,Toxic Organics,Toxic Organics
Chlordane (tissue),Other,Other
DDT (tissue & sediment),Other,Other
Endosulfan (tissue),Other,Other
Toxaphene (tissue & sediment),Other,Other
DDT (tissue),Other,Other
Endosulfan,Toxic Organics,Toxic Organics
Chlordane (tissue & sediment),Other,Other
Chlorpyrifos (tissue),Other,Other
Dieldrin (tissue),Other,Other
Endosulfan (tissue & sediment),Other,Other
Lindane/gamma Hexachlorocyclohexane (gamma-HCH),Other,Radiation
"Nitrogen, Nitrate",Nutrients,Nitrogen
"Copper, Dissolved",Metals,Copper
Benzo(a)anthracene,Toxic Organics,Toxic Organics
Benzo(a)pyrene,Toxic Organics,Toxic Organics
Chrysene (C1-C4),Toxic Organics,Toxic Organics
Phenanthrene,Toxic Organics,Toxic Organics
Pyrene,Toxic Organics,Toxic Organics
Odor,Other,Other
"Dibenz[a,h]anthracene",Toxic Organics,Toxic Organics
2-Methylnaphthalene,Toxic Organics,Toxic Organics
Cadmium (sediment),Metals,Cadmium
Copper (sediment),Metals,Copper
Lead (sediment),Metals,Lead
PCBs (Polychlorinated biphenyls) (tissue & sediment),Other,Other
Zinc (sediment),Metals,Zinc
DDT (sediment),Toxic Organics,Toxic Organics
Nitrogen,Nutrients,Nitrogen
Esfenvalerate/Fenvalerate,Toxic Organics,Toxic Organics
Fipronil Sulfone,Toxic Organics,Toxic Organics
Chlorine,Inorganics,Disinfectants
Oil and Grease,Other,Fuel
Eutrophic,Nutrients,Algae and other Nutrient-related
Algae,Nutrients,Algae and other Nutrient-related
alpha-Endosulfan (Endosulfan 1),Other,Other
Profenofos,Toxic Organics,Toxic Organics
Oil,Other,Fuel
Bis(2ethylhexyl)phthalate (DEHP),Toxic Organics,Toxic Organics
Fish Barriers (Fish Passage),Other,Other
Specific Conductance,Solids,Dissolved Solids
Dioxin,Toxic Organics,Toxic Organics
Sodium Adsorption Ratio (SAR),Solids,Dissolved Solids
Viruses (enteric),Pathogens,Pathogens
Exotic Vegetation,Other,Other
Habitat alterations,Other,Other
Reduced Tidal Flushing,Other,Other
Nitrate and Nitrite,Nutrients,Nitrogen
ChemA (tissue),Other,Other
"Nitrogen, Nitrite",Nutrients,Nitrogen
ChemA,Toxic Organics,Toxic Organics
Nitrate as Nitrate (NO3),Nutrients,Nitrogen
Nitrate/Nitrite (Nitrite + Nitrate as N),Nutrients,Nitrogen
