CWNS_ID,PERMIT_NUMBER,population_cwns,population_covid,population_sso,source,Population Served
6000000065,CA0079103,204525,230000,NA,CWNS+COVID,217262.5
6000000066,CAS0085324,NA,NA,NA,Unmatched,NA
6000000068,CA0037869; CA0037559,184091,NA,NA,CWNS,184091
6000000069,CA0038008,77127,NA,NA,CWNS,77127
6000000072,CA8000326,120986,NA,NA,CWNS,120986
6000000073,CA0107611,207450,NA,NA,CWNS,207450
6000000075,R9-2013-0001,32458,NA,NA,CWNS,32458
6000000076,CAS612008,NA,NA,NA,Unmatched,NA
6000000077,R4-2010-0108,NA,NA,NA,Unmatched,NA
6000000078,NA,132360,10000,NA,CWNS+COVID,71180
6000000080,CA0037842,913086,1500000,NA,CWNS+COVID,1206543
6000000081,R7-2022-0009,90000,NA,NA,CWNS,90000
6000000082,R7-2018-0001,117000,NA,NA,CWNS,117000
6000000083,CA0104973,56700,NA,NA,CWNS,56700
6000000084,CAS617002,NA,NA,NA,Unmatched,NA
6000000085,CAS004004,NA,NA,NA,Unmatched,NA
6000000086,2006-0003-DWQ,NA,NA,NA,Unmatched,NA
6000000088,2006-0003-DWQ; CA0037711; CA0038067,11098,NA,NA,CWNS,11098
6000000089,CA8000408,966263,NA,NA,CWNS,966263
6000000090,R8-2002-0077,42473,NA,NA,CWNS,42473
6000000091,CA0038776,33378,NA,NA,CWNS,33378
6000000097,CAS000001,NA,NA,NA,Unmatched,NA
6000000098,2006-0003-DWQ; CA0078590,14400,NA,NA,CWNS,14400
6000000099,CA0078590; 2006-0003-DWQ,7200,NA,NA,CWNS,7200
6000000101,R9-2015-0001,NA,NA,NA,Unmatched,NA
6000000102,CA0109398,0,NA,NA,CWNS,0
6000000103,CA0107409; CA0109398; CA0109045,2124187,NA,NA,CWNS,2124187
6000000105,CA8000304,403461,NA,NA,CWNS,403461
6000000107,CAS000004,NA,NA,NA,Unmatched,NA
6000000114,CA0038440,0,NA,NA,CWNS,0
6000000117,R4-2011-0079,74519,NA,NA,CWNS,74519
6000000118,CAS004002,NA,220000,NA,COVID,220000
6000000120,CAS0109266,NA,NA,NA,Unmatched,NA
6000000121,CA8000027,209610,NA,NA,CWNS,209610
6000000122,96-63,10481,NA,NA,CWNS,10481
6000000123,R5-2014-0162,9000,NA,NA,CWNS,9000
6000000124,CA8000188,41365,NA,NA,CWNS,41365
6000000137,2020-0015-DWQ,24854,NA,NA,CWNS,24854
6000000140,R5-2014-0004,23400,NA,NA,CWNS,23400
6000000143,2014-0057-DWQ,NA,NA,NA,Unmatched,NA
6000000149,CA0054011,44449,NA,NA,CWNS,44449
6000000153,R7-2020-0011,0,NA,NA,CWNS,0
6000000154,6-00-56,0,NA,NA,CWNS,0
6000000157,CA0049964,49500,110338,NA,CWNS+COVID,79919
6000000165,CAL000443,55800,NA,NA,CWNS,55800
6000000171,CA0038369,251100,199000,NA,CWNS+COVID,225050
6000000174,R5-2008-0034,53150,NA,NA,CWNS,53150
6000000181,R6V-2013-0058,30814,NA,NA,CWNS,30814
6000000210,Order No. 5-01- 033,NA,NA,NA,Unmatched,NA
6000000226,CA 2006-003-DWQ,NA,NA,NA,Unmatched,NA
6000000228,2006-003-DWQ,NA,NA,NA,Unmatched,NA
6000000294,2014-0153-dwq-r5177,562,NA,NA,CWNS,562
6000000295,R5-2006-0127,6906,NA,NA,CWNS,6906
6000000296,84-118,84,NA,NA,CWNS,84
6000000300,R5-2013-0114,406,NA,NA,CWNS,406
6000000301,CA1000001,0,NA,NA,CWNS,0
6000000302,CA0084069,630,NA,NA,CWNS,630
6000000303,2014-0194-DWQ,7920,NA,NA,CWNS,7920
6000000304,R1-2022-0004,1884,NA,NA,CWNS,1884
6000000305,R5-2016-0023,90000,NA,NA,CWNS,90000
6000000307,CAL000490,65700,NA,NA,CWNS,65700
6000000308,CA0053911,NA,NA,NA,Unmatched,NA
6000000309,NO. 6-95-22,166,NA,NA,CWNS,166
6000000310,96-195,510,NA,NA,CWNS,510
6000000311,R4-2018-0022,5430,NA,NA,CWNS,5430
6000000313,DWQ- 2014-0194; CAC417109,0,NA,NA,CWNS,0
6000203200,CA0037664,582120,750000,NA,CWNS+COVID,666060
6001001001,CA0023272,889,NA,NA,CWNS,889
6001002001,96-068,1387,NA,NA,CWNS,1387
6001003001,ORDER No. R1-2018-00,2977,NA,NA,CWNS,2977
6001004001,NO.96-28,129,NA,NA,CWNS,129
6001007001,R1-2012-0050,1076,NA,NA,CWNS,1076
6001008001,CA0022721,1350,NA,NA,CWNS,1350
6001009001,CA0023043,837,NA,NA,CWNS,837
6001010005,CA0024449,41400,45000,NA,CWNS+COVID,43200
6001011001,CA0022730,11638,NA,NA,CWNS,11638
6001012001,R1-2011-0096,1260,NA,NA,CWNS,1260
6001013001,R1-2008-0003,747,NA,NA,CWNS,747
6001015001,CA0024490,15210,NA,NA,CWNS,15210
6001016001,No. R1-2019-0002,104,NA,NA,CWNS,104
6001020001,CA0022748,2790,NA,NA,CWNS,2790
6001021001,CA0025054,7053,NA,NA,CWNS,7053
6001027001,R1-01-071; CA0023060,8100,NA,NA,CWNS,8100
6001028001,CA0023078,6928,NA,NA,CWNS,6928
6001032001,CA0023639,941,NA,NA,CWNS,941
6001035001,CA0022977; 2006-0003-DWQ,7920,NA,NA,CWNS,7920
6001036001,CA0023345,24793,NA,NA,CWNS,24793
6001038001,NO. 91-130,1810,NA,NA,CWNS,1810
6001040001,CA0023574,1080,NA,NA,CWNS,1080
6001041001,CA0022756,11771,15372,NA,CWNS+COVID,13571.5
6001042001,CAL010509,6990,NA,NA,CWNS,6990
6001045001,CA0022764,262365,NA,NA,CWNS,262365
6001045003,NO.88-052,4091,NA,NA,CWNS,4091
6001047001,CA0022713,17266,NA,NA,CWNS,17266
6001048001,R1-2022-0015,797,NA,NA,CWNS,797
6001049001,CA0024040,95,NA,NA,CWNS,95
6001050001,ORDER No. R1-2019-00,741,NA,NA,CWNS,741
6001054001,NO.96-070,2583,NA,NA,CWNS,2583
6001055001,CA0023027,1350,NA,NA,CWNS,1350
6001056001,R1-2012-0029,680,NA,NA,CWNS,680
6001064001,98-004,760,NA,NA,CWNS,760
6001065001,R1â2015â0026,594,NA,NA,CWNS,594
6001069001,CA0023671,676,NA,NA,CWNS,676
6001070001,CA0022870,1904,NA,NA,CWNS,1904
6001079001,CA0022888; R1-99-065,23872,NA,NA,CWNS,23872
6001082001,CA0025135,10980,NA,NA,CWNS,10980
6001085001,97-093,295,NA,NA,CWNS,295
6001093001,WDR 95-002,748,NA,NA,CWNS,748
6001099001,No. R1-2019-0007,8460,NA,NA,CWNS,8460
6002001001,CA0037559; CA0037869,57600,NA,NA,CWNS,57600
6002006001,CA0037613,142953,NA,NA,CWNS,142953
6002008001,CA0037621,138290,153000,NA,CWNS+COVID,145645
6002011001,CA0037788,37523,NA,NA,CWNS,37523
6002012001,CA0037834,164714,236000,NA,CWNS+COVID,200357
6002015001,CA0037711,30981,NA,NA,CWNS,30981
6002021001,CA0037885,171,NA,NA,CWNS,171
6002023001,CA0038547,187226,218281,NA,CWNS+COVID,202753.5
6002024001,CA0037770,19710,NA,NA,CWNS,19710
6002025001,CA0037648,552952,487300,NA,CWNS+COVID,520126
6002029001,CA0037869,146659,NA,NA,CWNS,146659
6002030001,CA0038539,96564,NA,NA,CWNS,96564
6002032004,CA0110116,2250,NA,NA,CWNS,2250
6002032005,CA0037681,225000,250000,NA,CWNS+COVID,237500
6002033001,2006-0003-DWQ; CA0037575,74970,NA,NA,CWNS,74970
6002034002,CA0005240,3811,NA,NA,CWNS,3811
6002036001,CA0037702,1134202,740000,NA,CWNS+COVID,937101
6002038001,CA0038024,131400,NA,NA,CWNS,131400
6002039001,CA0037532,20270,NA,NA,CWNS,20270
6002040001,CA0037737,114521,NA,NA,CWNS,114521
6002042001,CA0038881,49500,NA,NA,CWNS,49500
6002043001,CA0037541,155584,NA,NA,CWNS,155584
6002044004,CA0038628,54611,NA,NA,CWNS,54611
6002046001,CA0038130,100313,NA,NA,CWNS,100313
6002047001,CA0037699,110442,NA,NA,CWNS,110442
6002049001,WDR 2006-0003-DWQ,5239,NA,NA,CWNS,5239
6002053001,CA0037966,4981,NA,NA,CWNS,4981
6002054001,CA0038768,18869,20256,NA,CWNS+COVID,19562.5
6002058001,R2-00-016; CA0038598,22558,NA,NA,CWNS,22558
6002060007,R2-86-86,200,NA,NA,CWNS,200
6002063001,2006-0003-DWQ; CA0037753,9450,NA,NA,CWNS,9450
6002063002,2006-0003-DWQ; CA0037427,387,NA,NA,CWNS,387
6002064001,CA0037826,8111,NA,NA,CWNS,8111
6002069001,CA0037800,30188,NA,NA,CWNS,30188
6002071001,CA0037958,51332,NA,NA,CWNS,51332
6002072001,2006-0003-DWQ; CA0038067,21749,NA,NA,CWNS,21749
6002074001,CA0038016,4847,NA,NA,CWNS,4847
6002081001,CA0038733,320490,NA,NA,CWNS,320490
6002082001,CA0038091,25357,NA,NA,CWNS,25357
6002084001,CA0038482,32400,NA,NA,CWNS,32400
6002090001,CA0085260,39600,NA,NA,CWNS,39600
6002108001,CA0037851,27000,NA,NA,CWNS,27000
6002118001,CA0037810,55406,NA,NA,CWNS,55406
6002120001,CA0037796,79780,NA,NA,CWNS,79780
6002123001,CA0038318,1,NA,NA,CWNS,1
6002127001,CA0038121,2970,NA,NA,CWNS,2970
6003003001,NO. R3-2002-0012,0,NA,NA,CWNS,0
6003004001,CA0049224,40960,47545,NA,CWNS+COVID,44252.5
6003005001,CAL010561,12600,NA,NA,CWNS,12600
6003008001,CA0048828,11008,NA,NA,CWNS,11008
6003010001,CA0048194,75026,NA,NA,CWNS,75026
6003012001,CA0048551,409354,NA,NA,CWNS,409354
6003014001,CA0047881,9787,NA,NA,CWNS,9787
6003017001,CA0047996,19917,NA,NA,CWNS,19917
6003019001,CA0049981,1067,NA,NA,CWNS,1067
6003021001,CA0048160,74129,NA,NA,CWNS,74129
6003022001,R3-2002-0062,15727,NA,NA,CWNS,15727
6003027001,CA0047953,34557,NA,NA,CWNS,34557
6003028001,2006-0003-DWQ; CA0048151,7743,NA,NA,CWNS,7743
6003030001,ORDER NO. R3-2019-00; CAL010562,5400,NA,NA,CWNS,5400
6003033001,CA0048941,3413,NA,NA,CWNS,3413
6003035001,CAC407893,2307,NA,NA,CWNS,2307
6003036001,CA0047961,496,NA,NA,CWNS,496
6003037001,CA0048143,86400,77600,NA,CWNS+COVID,82000
6003040001,R3-2010-0001; 2006-0003-DWQ,97200,NA,NA,CWNS,97200
6003042001,R3-03-012; CA0048054,1058,NA,NA,CWNS,1058
6003044001,CA0048216,58713,NA,NA,CWNS,58713
6003046001,NO.98-62,49,NA,NA,CWNS,49
6003047001,CA0047902,1715,NA,NA,CWNS,1715
6003049001,R3-2011-0217,31500,NA,NA,CWNS,31500
6003050001,2006-0003-DWQ; CA0048127,53937,NA,NA,CWNS,53937
6003053001,CA0047899,9050,NA,NA,CWNS,9050
6003054002,R3-00-043,191,NA,NA,CWNS,191
6003058001,CA0047830,720,NA,NA,CWNS,720
6003061001,CA0047364,15241,NA,NA,CWNS,15241
6003063001,NO. R3-2008-0069,38970,NA,NA,CWNS,38970
6003068001,CA0048089,504,NA,NA,CWNS,504
6003070001,CAS000002,7799,NA,NA,CWNS,7799
6003081001,CA0048003,62019,NA,NA,CWNS,62019
6003083001,2014-0153-DWQ,104,NA,NA,CWNS,104
6004002001,CA0053961,20700,NA,NA,CWNS,20700
6004003001,CA0055221,114190,NA,NA,CWNS,114190
6004006001,CA0053651,102082,NA,NA,CWNS,102082
6004007001,CA0056294,117000,NA,NA,CWNS,117000
6004008010,R4-2015-0051,10638,NA,NA,CWNS,10638
6004009001,CA0053813,3353576,3500000,NA,CWNS+COVID,3426788
6004009002,CA0053619,311175,NA,NA,CWNS,311175
6004009004,CA0053716,297390,NA,NA,CWNS,297390
6004009006,CA0054119,189973,NA,NA,CWNS,189973
6004009007,CA0054313,49393,NA,NA,CWNS,49393
6004009008,CA0054216,168637,NA,NA,CWNS,168637
6004009009,R6V-2002-053,159280,NA,NA,CWNS,159280
6004009010,R6T-2011-0012,145187,NA,NA,CWNS,145187
6004009014,00-099,1519,NA,NA,CWNS,1519
6004010001,CA0109991,2800773,4000000,NA,CWNS+COVID,3400386.5
6004010002,CA0053856,123833,NA,NA,CWNS,123833
6004010003,CA0053953,213774,NA,NA,CWNS,213774
6004010004,CA0056227,919987,NA,NA,CWNS,919987
6004010005,CA0053856; CA0109991; CA0056227; CA0053953,3643825,NA,NA,CWNS,3643825
6004011010,R4-01-155,952,NA,NA,CWNS,952
6004012500,CAS004001,132618,NA,NA,CWNS,132618
6004014001,CA0063274,34200,NA,NA,CWNS,34200
6004016001,CA0054372,3420,NA,NA,CWNS,3420
6004020001,R4-2009-0027-A02,2143,NA,NA,CWNS,2143
6004022002,CA0104451,1002,NA,NA,CWNS,1002
6004026001,CA0056014,74314,NA,NA,CWNS,74314
6004027001,CA0054097,212912,250000,NA,CWNS+COVID,231456
6004029001,CA0053597,62737,NA,NA,CWNS,62737
6004032001,CA0055531,99473,NA,NA,CWNS,99473
6004044001,R4-97-041; CA0054224,27148,NA,NA,CWNS,27148
6005000002,CA0077682,1080000,1480000,NA,CWNS+COVID,1280000
6005001001,R5-2012-0063,21316,NA,NA,CWNS,21316
6005004001,CA0077950,53100,59000,NA,CWNS+COVID,56050
6005008001,Order No. 91-164,42865,NA,NA,CWNS,42865
6005010001,CAL000407,149313,NA,NA,CWNS,149313
6005010002,CAL000476,134311,NA,NA,CWNS,134311
6005011001,CA0079081,82778,101299,NA,CWNS+COVID,92038.5
6005012001,CAL010541; R5-2007-0115,12150,NA,NA,CWNS,12150
6005014001,N0.Â·5-00-193,104,NA,NA,CWNS,104
6005018001,CA0077844,1890,NA,NA,CWNS,1890
6005019002,R5-2016-0028-01,27753,NA,NA,CWNS,27753
6005019004,NO. 5-01-251,27000,NA,NA,CWNS,27000
6005022001,R5-2004-0008,7830,NA,NA,CWNS,7830
6005023002,CA0077704,10247,NA,NA,CWNS,10247
6005024001,R5-04-097; CA0079022,8357,NA,NA,CWNS,8357
6005025001,CA0079138,335503,320000,NA,CWNS+COVID,327751.5
6005026001,R5-2021-0026,42700,NA,NA,CWNS,42700
6005031001,CA0077836,9000,NA,NA,CWNS,9000
6005032001,CAL010550,6819,NA,NA,CWNS,6819
6005033001,CA0077933,4590,NA,NA,CWNS,4590
6005035001,CA0078034,5490,NA,NA,CWNS,5490
6005040001,CA0077712,12420,NA,NA,CWNS,12420
6005041001,R5-02-020; CA0078999,5760,NA,NA,CWNS,5760
6005042003,R5-2017-0052,46956,NA,NA,CWNS,46956
6005043001,WDR 90-271; 2006-0003-DWQ,16599,NA,NA,CWNS,16599
6005045001,CA0081621,1462,NA,NA,CWNS,1462
6005046001,92-094,5040,NA,NA,CWNS,5040
6005051001,89-171,5001,NA,NA,CWNS,5001
6005053001,R5-2018-0080,895616,NA,NA,CWNS,895616
6005054001,CA0081434,24254,NA,NA,CWNS,24254
6005055001,93-088; 2006-0003-DWQ,857,NA,NA,CWNS,857
6005056001,R5-2014-0163,6007,NA,NA,CWNS,6007
6005057001,NO. R5-2012-0006; NO. 90-186,756,NA,NA,CWNS,756
6005058001,98-090,3780,NA,NA,CWNS,3780
6005060004,97-249,6895,NA,NA,CWNS,6895
6005061001,2006-0003-DWQ; CA0082660,46800,NA,NA,CWNS,46800
6005062001,CA0079243,54296,67021,NA,CWNS+COVID,60658.5
6005063001,R5-2009-0109; CA0079987,1130,NA,NA,CWNS,1130
6005064001,2006-0003-DWQ; CA0079219,83700,NA,NA,CWNS,83700
6005066001,CA0078950; 2006-0003-DWQ,4126,NA,NA,CWNS,4126
6005068001,94-100,22773,NA,NA,CWNS,22773
6005071001,5-01-255,40026,NA,NA,CWNS,40026
6005077001,CA0078948,116883,86000,NA,CWNS+COVID,101441.5
6005078001,CA0079189; R5-2018-0046,117900,NA,NA,CWNS,117900
6005079001,R5-2002-0198,25356,NA,NA,CWNS,25356
6005080001,NO. 94-273; CAL010535,8242,NA,NA,CWNS,8242
6005081001,CA0079260,47700,70000,NA,CWNS+COVID,58850
6005082002,R5-2013-0009,549,NA,NA,CWNS,549
6005082021,CA0085278,1080,NA,NA,CWNS,1080
6005086001,R5-95-103,14123,NA,NA,CWNS,14123
6005088002,CA0079235,48631,44000,NA,CWNS+COVID,46315.5
6005094001,R5-2011-0092,995,NA,NA,CWNS,995
6005098001,CA0079731,65424,NA,NA,CWNS,65424
6005098002,CA0082589,21375,NA,NA,CWNS,21375
6005099001,CA0079391,256,NA,NA,CWNS,256
6005100001,R5-2002-0224,181,NA,NA,CWNS,181
6005103001,CAL010540; R5-2021-0046,3150,NA,NA,CWNS,3150
6005105001,CA0079154,79920,98601,NA,CWNS+COVID,89260.5
6005106001,R5-2017-0085-001; CA0079197,38736,NA,NA,CWNS,38736
6005108001,CAL010521; R5-2012-000,6930,NA,NA,CWNS,6930
6005109001,WDR R5-2002-0202,15950,NA,NA,CWNS,15950
6005112001,Order 95-125,7112,NA,NA,CWNS,7112
6005113001,2000-0003-DWQ,1524,NA,NA,CWNS,1524
6005114001,CA0081213,109,NA,NA,CWNS,109
6005123001,79-143,1064,NA,NA,CWNS,1064
6005125001,5-01-071,11569,NA,NA,CWNS,11569
6005126001,R5-2007-0147,20411,NA,NA,CWNS,20411
6005142001,5-00-093,15840,NA,NA,CWNS,15840
6005143001,R5-2015-0053,6750,NA,NA,CWNS,6750
6005145001,R5-2012-0025,4590,NA,NA,CWNS,4590
6005146001,CA0081558,67537,83498,NA,CWNS+COVID,75517.5
6005155001,R5-2013-0153,18615,NA,NA,CWNS,18615
6005157001,CA0078051,3242,NA,NA,CWNS,3242
6005158001,ORDER NO: R5-2014-01,6750,NA,NA,CWNS,6750
6005161001,CA0079430,1800,NA,NA,CWNS,1800
6005162001,CA0079464,2333,NA,NA,CWNS,2333
6005164001,93-213,3426,NA,NA,CWNS,3426
6005169001,R5-2007-0149,632,NA,NA,CWNS,632
6005177001,95-200,22667,NA,NA,CWNS,22667
6005184001,CA0077691,90953,NA,NA,CWNS,90953
6005187001,CA0085201,4899,NA,NA,CWNS,4899
6005197001,R5-2022-0074,60548,NA,NA,CWNS,60548
