LIMIT_SET_SCHEDULE_ID,LIMIT_VALUE_ID,LIMIT_VALUE_TYPE_CODE,MONITORING_PERIOD_END_DATE,REPORTED_EXCURSION_NMBR,DMR_VALUE_STANDARD_UNITS,EXCEEDENCE_PCT,VIOLATION_CODE,MONITORING_PERIOD_END_DATE_NUMERIC,EXTERNAL_PERMIT_NMBR,PERM_FEATURE_ID,PERM_FEATURE_NMBR,LIMIT_SET_ID,LIMIT_SET_DESIGNATOR,LIMIT_SET_NAME,DMR_COMMENT_TEXT,LIMIT_ID,LIMIT_BEGIN_DATE,LIMIT_END_DATE,PARAMETER_CODE,MONITORING_LOCATION_CODE,LIMIT_VALUE_NMBR,LIMIT_UNIT_CODE,LIMIT_UNIT_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,LIMIT_VALUE_STANDARD_UNITS,STATISTICAL_BASE_CODE,STATISTICAL_BASE_TYPE_CODE,LIMIT_VALUE_QUALIFIER_CODE,LIMIT_TYPE_CODE,LIMIT_SAMPLE_TYPE_CODE,LIMIT_FREQ_OF_ANALYSIS_CODE,ALL_MONTHS_LIMIT,LIMIT_SEASON_ID,LIMIT_BEGIN_DATE_NUMERIC,LIMIT_END_DATE_NUMERIC,STANDARD_UNIT_BASE,LIMIT_BASE_UNIT_DESC,DMR_VALUE_BASE_UNITS,LIMIT_VALUE_BASE_UNITS,_DATA_SOURCE,location,PARAMETER_DESC,calculated_method,qualifier,facility_name,facility_place_id,group_key
3400226341,3402084947,C,2014-12-31T00:00:00Z,0,3.3924836286e-24,NA,NA,2015.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.3924836286e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3400226351,3402084947,C,2015-12-31T00:00:00Z,0,3.4173917316e-24,NA,NA,2016.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.4173917316e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3400226351,3402084947,C,2016-12-31T00:00:00Z,0,3.48713442e-24,NA,NA,2017.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.48713442e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3400226351,3402084947,C,2017-12-31T00:00:00Z,0,3.48713442e-24,NA,NA,2018.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.48713442e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3400226351,3402084947,C,2018-12-31T00:00:00Z,1,3.6100143948e-24,4,E90,2019.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.6100143948e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3400226351,3402084947,C,2019-12-31T00:00:00Z,1,3.794334357e-24,9,E90,2020.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,NA,3401341328,2014-08-01T00:00:00Z,2019-07-31T00:00:00Z,95,1,2100,11,umho/cm,11,uS/cm,3.48713442e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,kg,kg,3.794334357e-24,3.48713442e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3600702903,3608507779,C,2020-12-31T00:00:00Z,0,3.943782975e-24,NA,NA,2021.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,NA,3605006831,2020-02-01T00:00:00Z,2025-01-30T00:00:00Z,95,1,2400,11,umho/cm,11,uS/cm,3.98529648e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,kg,kg,3.943782975e-24,3.98529648e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3600702919,3608507779,C,2021-12-31T00:00:00Z,0,3.9670305378e-24,NA,NA,2022.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,NA,3605006831,2020-02-01T00:00:00Z,2025-01-30T00:00:00Z,95,1,2400,11,umho/cm,11,uS/cm,3.98529648e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,kg,kg,3.9670305378e-24,3.98529648e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3600702919,3608507779,C,2022-12-31T00:00:00Z,0,3.976993779e-24,NA,NA,2023.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,NA,3605006831,2020-02-01T00:00:00Z,2025-01-30T00:00:00Z,95,1,2400,11,umho/cm,11,uS/cm,3.98529648e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,kg,kg,3.976993779e-24,3.98529648e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3600702919,3608507779,C,2023-12-31T00:00:00Z,0,3.4970976611999996e-24,NA,NA,2024.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,NA,3605006831,2020-02-01T00:00:00Z,2025-01-30T00:00:00Z,95,1,2400,11,umho/cm,11,uS/cm,3.98529648e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,kg,kg,3.4970976611999996e-24,3.98529648e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
3600702919,3608507779,C,2024-12-31T00:00:00Z,0,3.7578024726e-24,NA,NA,2025.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,NA,3605006831,2020-02-01T00:00:00Z,2025-01-30T00:00:00Z,95,1,2400,11,umho/cm,11,uS/cm,3.98529648e-24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,kg,kg,3.7578024726e-24,3.98529648e-24,DMR,NA,NA,NA,NA,NA,NA,CA0078590|95|1|EFF1|AB|uS/cm|C
