LIMIT_SET_SCHEDULE_ID,LIMIT_VALUE_ID,LIMIT_VALUE_TYPE_CODE,MONITORING_PERIOD_END_DATE,REPORTED_EXCURSION_NMBR,DMR_VALUE_STANDARD_UNITS,EXCEEDENCE_PCT,VIOLATION_CODE,MONITORING_PERIOD_END_DATE_NUMERIC,EXTERNAL_PERMIT_NMBR,PERM_FEATURE_ID,PERM_FEATURE_NMBR,LIMIT_SET_ID,LIMIT_SET_DESIGNATOR,LIMIT_SET_NAME,DMR_COMMENT_TEXT,LIMIT_ID,LIMIT_BEGIN_DATE,LIMIT_END_DATE,PARAMETER_CODE,MONITORING_LOCATION_CODE,LIMIT_VALUE_NMBR,LIMIT_UNIT_CODE,LIMIT_UNIT_DESC,STANDARD_UNIT_CODE,STANDARD_UNIT_DESC,LIMIT_VALUE_STANDARD_UNITS,STATISTICAL_BASE_CODE,STATISTICAL_BASE_TYPE_CODE,LIMIT_VALUE_QUALIFIER_CODE,LIMIT_TYPE_CODE,LIMIT_SAMPLE_TYPE_CODE,LIMIT_FREQ_OF_ANALYSIS_CODE,ALL_MONTHS_LIMIT,LIMIT_SEASON_ID,LIMIT_BEGIN_DATE_NUMERIC,LIMIT_END_DATE_NUMERIC,STANDARD_UNIT_BASE,DMR_VALUE_BASE_UNITS,LIMIT_VALUE_BASE_UNITS,_DATA_SOURCE,location,PARAMETER_DESC,calculated_method,qualifier,facility_name,facility_place_id
3400226341,3402084947,C,2014-12-31,0.0,0.20429999999999998,,,2015.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.20429999999999998,0.21,DMR,,,,,,
3400226351,3402084947,C,2015-12-31,0.0,0.20579999999999998,,,2016.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.20579999999999998,0.21,DMR,,,,,,
3400226351,3402084947,C,2016-12-31,0.0,0.21,,,2017.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.21,0.21,DMR,,,,,,
3400226351,3402084947,C,2017-12-31,0.0,0.21,,,2018.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.21,0.21,DMR,,,,,,
3400226351,3402084947,C,2018-12-31,1.0,0.21739999999999998,4.0,E90,2019.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.21739999999999998,0.21,DMR,,,,,,
3400226351,3402084947,C,2019-12-31,1.0,0.22849999999999998,9.0,E90,2020.0849315068492,CA0078590,3400102032,EFF1,3400139562,Y,DISCHARGE 001 / YEARLY,,3401341328,2014-08-01,2019-07-31,95,1,2100.0,11,umho/cm,11,umho/cm,0.21,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2014.669406392694,2019.6682648401825,A²·s³/kg/m³,0.22849999999999998,0.21,DMR,,,,,,
3600702903,3608507779,C,2020-12-31,0.0,0.2375,,,2021.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,,3605006831,2020-02-01,2025-01-30,95,1,2400.0,11,umho/cm,11,umho/cm,0.24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,A²·s³/kg/m³,0.2375,0.24,DMR,,,,,,
3600702919,3608507779,C,2021-12-31,0.0,0.23889999999999997,,,2022.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,,3605006831,2020-02-01,2025-01-30,95,1,2400.0,11,umho/cm,11,umho/cm,0.24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,A²·s³/kg/m³,0.23889999999999997,0.24,DMR,,,,,,
3600702919,3608507779,C,2022-12-31,0.0,0.2395,,,2023.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,,3605006831,2020-02-01,2025-01-30,95,1,2400.0,11,umho/cm,11,umho/cm,0.24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,A²·s³/kg/m³,0.2395,0.24,DMR,,,,,,
3600702919,3608507779,C,2023-12-31,0.0,0.21059999999999998,,,2024.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,,3605006831,2020-02-01,2025-01-30,95,1,2400.0,11,umho/cm,11,umho/cm,0.24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,A²·s³/kg/m³,0.21059999999999998,0.24,DMR,,,,,,
3600702919,3608507779,C,2024-12-31,0.0,0.22629999999999997,,,2025.0849315068492,CA0078590,3600441945,EFF1,3600485274,Y,DISCHARGE 001 / YEARLY,,3605006831,2020-02-01,2025-01-30,95,1,2400.0,11,umho/cm,11,umho/cm,0.24,AB,AVG,<=,ENF,CA,01/YR,JAN--FEB--MAR--APR--MAY--JUN--JUL--AUG--SEP--OCT--NOV--DEC,0,2020.169406392694,2025.1655251141551,A²·s³/kg/m³,0.22629999999999997,0.24,DMR,,,,,,
