EXTERNAL_PERMIT_NMBR,PARAMETER_CODE,STANDARD_UNIT_DESC,MONITORING_LOCATION_CODE,LIMIT_SET_SCHEDULE_ID,LIMIT_VALUE_TYPE_CODE
CA0078051,400,SU,1,3600159208,C3
CA0078051,610,mg/L,1,3600159208,C2
CA0084271,51543,deg F,1,3600395094,C3
CA7000009,310,mg/L,1,1800003779,C2
CA8000383,70295,mg/L,2,3400046523,C2
CA0081744,81011,%,K,3000042546,C1
CA0105350,70295,mg/L,2,1200022145,C2
CA0079260,610,mg/L,1,3400120111,C2
CA0056014,610,mg/L,1,2200008338,C2
CA0078590,95,umho/cm,1,1400006228,C2
CA0107417,50050,MGD,1,3600948249,Q1
CA0037711,610,mg/L,1,3400008860,C3
CA0048151,34010,kg/d,1,1800022362,Q1
CA0048151,1114,kg/d,1,1800022362,Q1
CA0105023,400,SU,1,3600236442,C3
CA0037800,50060,mg/L,1,1400005311,C3
CA0109991,3582,mg/L,1,2200013284,C3
CA0048151,1113,kg/d,1,1800022362,Q2
CA0037621,70,NTU,1,1800010834,C3
CA0056014,70295,mg/L,1,2200008338,C2
CA0048151,39110,kg/d,1,1800022362,Q1
CA0079588,95,umho/cm,1,3600172560,C3
CA0084271,74056,MPN/100mL,1,3400087729,C3
CA7000009,81010,%,K,1800003779,C1
CA0079511,400,SU,1,1200021179,C3
CA0079651,51061,MGD,1,3600357100,Q1
CA0085201,95,umho/cm,1,3600236186,C1
CA0048160,400,SU,1,2200004973,C3
CA0038016,74056,MPN/100mL,1,3600171102,C2
CA0048151,34336,kg/d,1,1800022362,Q1
CA0085235,400,SU,1,1200021699,C3
CA0023051,81011,%,K,3600179176,C1
CA0048551,400,SU,1,1200019395,C1
CA0038016,81011,%,1,3600832862,C1
