EXTERNAL_PERMIT_NMBR,PARAMETER_CODE,slope,latest_limit,qualifier,Q1,Q3
CA0023051,81011,-10.191819825430601,85,>=,91.1,95.5
CA0037621,70,0.38419428035847036,10,<=,8.024999999999999,9.3
CA0037711,610,1.36135993260382,12.3,<=,4.7,13
CA0037800,50060,0.5514581156288623,0,<=,0,0.675
CA0038016,74056,186.8681443710036,23,<=,1.8,920
CA0038016,81011,-15.637219508435148,85,>=,83.75,93.7875
CA0048151,1113,0.7939728018910948,1.22579999,<=,1.14635e-4,2.0543499825000002
CA0048151,1114,1.3595215330094241,2.36079998,<=,2.5424e-4,7.740699934999999
CA0048151,34010,19583.119208491556,99879.99916077,<=,0.0010896,99879.99916077
CA0048151,34336,7215.6083734166805,38589.99967575,<=,9.75e-7,38589.99967575
CA0048151,39110,580.3855605396836,4176.7999649,<=,0.0012600324999999999,4176.7999649
CA0048160,400,0.07633045464679777,6,<=,6.7,7.2
CA0048551,400,-0.05085595377338661,9,>=,6.875,7.6
CA0053597,Toxicity,-3.3780266740627005,50,>=,0,12.16
CA0053651,Toxicity,-32.28925318884688,50,>=,1.8,100
CA0054011,Toxicity,-4.422342475071498,50,>=,0,5
CA0054119,Toxicity,-5.223420614374423,50,>=,0,9.05
CA0056014,610,0.09409540072712284,0.0023,<=,0.1,1.4
CA0056014,70295,14.355629655470054,950,<=,759.5,883.75
CA0056294,Toxicity,-10.127561780537812,50,>=,0,3.345
CA0078051,400,0.05000208774659792,6.5,<=,6.6,7.025
CA0078051,610,0.844804055522807,5.7,<=,11.375000000000002,18.575000000000003
CA0078590,95,42.23515151515151,2400,<=,2100,2352.5
CA0078891,Toxicity,-7.119498857860311,70,>=,0.001,100
CA0079260,610,1.2297991194823972,31,<=,22,32
CA0079511,400,0.09385174766540924,6,<=,6.6,7.6625000000000005
CA0079588,95,47.33342857142858,1300,<=,1246.7475,1369.25
CA0079651,51061,0.2629280576805833,1.8,<=,2.365,2.6
CA0081744,81011,-7.507897888809646,65,>=,10.75,61
CA0084271,51543,13.443692608343756,20,<=,20.4,72.4
CA0084271,74056,1.178357416146049,2.2,<=,1.8,2.2
CA0085201,95,217.47213057762767,510,<=,437,464
CA0085235,400,0.05247208046029736,8.2,<=,6.9375,7.55
CA0105023,400,0.08535805109088665,6,<=,7.1,7.91
CA0105350,70295,5.429325380055587,250,<=,206,232.25
CA0107417,50050,0.9686951019925727,2.2,<=,0.1775,7
CA0107433,Toxicity,5.6551101109506,1,<,0,6.5
CA0107492,Toxicity,-8.71398387962372,50,>=,8.175,97.5
CA0109991,3582,7.070233676099528,40,<=,7,52
CA7000009,310,1.057737002301789,30,<=,15.3,28
CA7000009,81010,-0.2870510693066906,85,>=,92.75,96
CA8000383,70295,6.042655517638046,250,<=,195.5,246.25
