EXTERNAL_PERMIT_NMBR,PARAMETER_CODE,slope,latest_limit,qualifier,Q1,Q3
CA0105350,70295,5.429325380055592,250.0,<=,206.0,232.25
CA0038016,81011,-15.637219508435146,85.0,>=,83.75,93.7875
CA0048151,1113,0.7939728018910945,1.22579999,<=,0.000114635,2.0543499825000002
CA0109991,3582,7.070233676099526,40.0,<=,7.0,52.0
CA7000009,81010,-0.2870510693066905,85.0,>=,92.75,96.0
CA0079588,95,47.333428571428584,1300.0,<=,1246.7475,1369.25
CA0048151,34010,19583.11920849155,99879.99916077,<=,0.0010896,99879.99916077
CA0084271,51543,13.443692608343756,20.0,<=,20.4,72.4
CA7000009,310,1.057737002301789,30.0,<=,15.3,28.0
CA0078051,400,0.050002087746597916,6.5,<=,6.6,7.025
CA0107417,50050,0.9686951019925731,2.2,<=,0.1775,7.0
CA8000383,70295,6.042655517638047,250.0,<=,195.5,246.25
CA0081744,81011,-7.507897888809647,65.0,>=,10.75,61.0
CA0048151,39110,580.3855605396836,4176.7999649,<=,0.0012600325,4176.7999649
CA0056014,70295,14.355629655470063,950.0,<=,759.5,883.75
CA0079651,51061,0.2629280576805832,1.8,<=,2.365,2.6
CA0078051,610,0.8448040555228067,5.7,<=,11.375,18.575000000000003
CA0037711,610,1.3613599326038193,12.3,<=,4.7,13.0
CA0038016,74056,186.86814437100355,23.0,<=,1.8,920.0
CA0023051,81011,-10.191819825430601,85.0,>=,91.1,95.5
CA0084271,74056,1.1783574161460486,2.2,<=,1.8,2.2
CA0085201,95,217.47213057762764,510.0,<=,437.0,464.0
CA0079511,400,0.09385174766540924,6.0,<=,6.6,7.6625000000000005
CA0037621,70,0.3841942803584702,10.0,<=,8.024999999999999,9.3
CA0079260,610,1.2297991194823972,31.0,<=,22.0,32.0
CA0085235,400,0.05247208046029734,8.2,<=,6.9375,7.55
CA0105023,400,0.08535805109088669,6.0,<=,7.1,7.91
CA0048151,1114,1.3595215330094237,2.36079998,<=,0.00025424,7.740699934999999
CA0048160,400,0.07633045464679777,6.0,<=,6.7,7.2
CA0078590,95,42.235151515151514,2400.0,<=,2100.0,2352.5
CA0037800,50060,0.5514581156288624,0.0,<=,0.0,0.675
CA0048551,400,-0.05085595377338658,9.0,>=,6.875,7.6
CA0056014,610,0.09409540072712286,0.0023,<=,0.1,1.4
CA0048151,34336,7215.60837341668,38589.99967575,<=,9.75e-07,38589.99967575
