EXTERNAL_PERMIT_NMBR,Parameters with Slope and Near Exceedance: Number of Parameters,Parameters with Slope and Near Exceedance: List of Parameters
CA0006017,4,"50060, 545, 81010, 81011"
CA0022713,4,"1119, 32101, 720, Toxicity"
CA0022721,1,400
CA0022730,1,620
CA0022748,4,"32101, 34306, 51535, 82080"
CA0022756,1,610
CA0022781,1,32105
CA0022888,1,32101
CA0023043,1,720
CA0023051,10,"1114, 1119, 310, 32101, 530, 610, 81011, Toxicity"
CA0023671,6,"1119, 32105, 39410, 545, 70295, Toxicity"
CA0024058,1,74056
CA0024449,1,50060
CA0024490,1,620
CA0037559,3,"400, 530, 74055"
CA0037613,1,Toxicity
CA0037621,2,"70, Toxicity"
CA0037664,1,Toxicity
CA0037800,1,50060
CA0038016,4,"310, 74056, 81010"
CA0038121,1,50060
CA0038369,1,50060
CA0047830,1,50060
CA0047856,3,"1119, 600, 74056"
CA0047902,6,"545, 619, 70295, 923, 940, Toxicity"
CA0047953,4,"32101, 32105, 600, 981"
CA0047996,1,Toxicity
CA0048003,1,39420
CA0048127,3,"39100, 945, Toxicity"
CA0048143,5,"34273, 39120, 39379, 39380, Toxicity"
CA0048151,2,"32102, 50060"
CA0048194,9,"34631, 39350, 39400, 39410, 39420, 39516, 39700, 680, 82698"
CA0048216,1,39516
CA0048551,2,"50060, 720"
CA0048941,2,"545, 620"
CA0049224,3,"32101, 34438, 50060"
CA0053597,3,"39100, 945"
CA0053651,4,"38260, 981, Toxicity"
CA0053953,2,"3520, 39100"
CA0053961,5,"1147, 3530, 50060, 51445, 981"
CA0054097,2,39120
CA0054216,1,940
CA0054313,1,3520
CA0054372,1,3520
CA0055221,2,"940, 945"
CA0055531,2,"39100, 50060"
CA0056014,5,"39100, 50060, 630, 71901, 74056"
CA0056227,2,"620, 630"
CA0056294,3,"70, 720, 940"
CA0077682,1,610
CA0077844,5,"74056, 81010, 81011"
CA0077895,1,50060
CA0077950,1,95
CA0078034,2,"32105, 50060"
CA0078051,7,"1119, 310, 400, 530, 610, 70, 81010"
CA0078948,3,"400, 74056, 95"
CA0078981,2,"1119, 610"
CA0078999,1,1119
CA0079049,4,"1104, 310, 50060, 530"
CA0079138,1,630
CA0079235,1,51409
CA0079260,1,610
CA0079464,1,81010
CA0079511,4,"1094, 81010, 81011, 95"
CA0079588,2,"50050, 95"
CA0079901,2,"74056, Toxicity"
CA0081213,2,"50060, 999"
CA0081558,1,74056
CA0081621,2,"1079, 1094"
CA0081744,4,"50060, 530, 81010"
CA0084271,4,"18, 51543, 71901, 74056"
CA0085201,1,95
CA0085235,1,1094
CA0085359,1,400
CA0102822,1,39100
CA0104400,1,1119
CA0104451,1,32105
CA0104477,1,720
CA0105015,1,50060
CA0105295,1,70295
CA0105350,1,70295
CA0105376,1,70
CA0107395,2,"50060, 80082"
CA0107417,1,Toxicity
CA0107433,1,Toxicity
CA0107492,4,"3582, 50060, Toxicity"
CA0107611,1,50050
CA0109991,1,3582
CA8000027,1,70295
CA8000383,6,"39100, 39380, 51173, 61736, 70295"
CAC429451,1,74056
CAC433345,2,"310, 50050"
CAC439953,1,74056
CAC441902,1,Toxicity
CAC448871,1,Toxicity
