NPDES # CA#,Discharges to Impaired and Not Limited: Number of Parameters,Discharges to Impaired and Not Limited: List of Parameters
CA0037559,1,Selenium
CA0037681,4,"Toxic Inorganics, Disinfectants, Nitrogen, Zinc"
CA0037702,1,Selenium
CA0048143,1,Copper
CA0048216,2,"Nickel, Copper"
CA0049964,1,Selenium
CA0053597,2,"Pathogens, Aluminum"
CA0053813,1,Copper
CA0053961,1,Aquatic Toxicity
CA0054372,1,Pathogens
CA0059501,1,Pathogens
CA0104477,2,"Aquatic Toxicity, Nitrogen"
CA0104493,2,"Aquatic Toxicity, Nitrogen"
CA0107395,2,"Pathogens, Nitrogen"
CA0107417,1,Pathogens
CA0107433,1,Pathogens
CA0107611,8,"Pathogens, Nitrogen, Phosphorus, Selenium"
CA3000001,1,Copper
CA8000383,1,Iron
CAC422026,1,Dissolved Solids
